Rating,Title,Author,Review Description,Pro,Con
3.0,Company benefit is great and all but...,"Senior Associate (Former Employee) - Taguig City - March 3, 2023","But the management isn't pro-employee enough to defend a hard working employee from getting laid off. They laid off a hardworking, productive and performing employee and kept those non productive and non performing (metrics and attendance wise). They cannot even give a solid answer and just respond in a robotic way of ""it was a business decision"". That's not true because at some point, there are people who made the decision and the decision should be made logically.",,
5.0,Fun place,"Analyst (Former Employee) - New York, NY - March 3, 2023","It was a fun place to work, challenging, but learned a lot. It was a little slow at first but once you get into the swing of things there is always something to do.",,
4.0,good work life balance,"Software Engineer (Former Employee) - Canada - March 1, 2023",I liked working here. There is good work-life balance and the company actually cares about the employees. Not to mention the paid leave and option to work remotely.,,
4.0,Great perks/benefits; hard to get work done,"People Analyst Manager (Current Employee) - NYC - February 28, 2023","Google has wonderful perks and benefits. Most everyone at the company is great to work with. However, the company is so large and bureaucratic, it's hard to get things done. A lot of people with a lot of opinions, without clear decision makers.",,
4.0,Productive,"Intern (Former Employee) - San Francisco, CA - February 28, 2023",Productive and fun. Learned a lot about the industry. Staff was very supportive and considerate. They all gave great advice and guided me. Overall fun.,,
5.0,Experience of a lifetime,"Internal Communications Manager (Former Employee) - Mountain View, CA - February 27, 2023","What is the best part of working at the company?
A range of opportunities for career growth and development, with a focus on continuous learning and professional advancement. And, of course, the people

What is the most stressful part about working at the company?
So much work that I never felt like I was all caught up

What is the work environment and culture like at the company?
Collaborative; supportive and collegial

What is a typical day like for you at the company?
Extremely busy strategizing and proactively working with client groups to gauge internal communication needs and recommend suitable solutions.",,
5.0,Productive and Awesome Culture,"Software Engineer (Current Employee) - Dallas, TX - February 27, 2023","Very growing and rewarding place to work at, respect from both ends. Work feels amazing, sometimes it doesn’t even feel like work, and of course the remote part is very good, as well as the unlimited pto and awesome colleagues/management.",,
3.0,Overall OK,"Administrative Business Partner (Former Employee) - Mountain View, CA - February 26, 2023","Work/life balance is great, (they encourage time off) Datacenter and office culture are very different. Very difficult to advance/transfer in a datacenter role vs a role that doesn't support a datacenter. Free training available, you just have to be proactive and search within the tools and resources given. Lots of meetings that take away from productivity. Below market in pay. Management differs at each site, I've had both good and very bad.",,
5.0,Great culture,"Program Manager (Former Employee) - Mountain View, CA - February 26, 2023","they hire you to get things done without much guidance which i appreciate. The culture is amazing, the people are great, food is 10/10. My only complaint is that there is a lack of communication throughout the company and you and 10 other people might be working on the same thing without you knowing",,
5.0,good place,"Software Developer (Current Employee) - Bangalore, Karnataka - February 26, 2023","good place to work. You get money, food and everything. Everything is top class here, You will get macbook, mobile and every kind of gadget. So go for it.",,
3.0,"Nice office and perks, can be better organized","Technical Consultant (Current Employee) - zurich - February 26, 2023","Large organization with a lot of changes, takes a while to navigate. Office and benefits are nice. Becomes more corporate and conventional company, changed a lot in last years.",,
4.0,Good place to work,"Scheduler (Former Employee) - CBD - December 6, 2018","As a contractor, you are not expected of much performance at the same time can't excel much for career advancement. Contract agents will get you in with a lower pay in the brand name of Google. Just need to be tactful on that.","Free food, flexible working (WFH)",Contractors' separation from Googlers. Could be bullied at times
1.0,Ok,"Analyst (Former Employee) - New York, NY - February 25, 2023","ll of politics, growth slows down.
The management keeps making wrong decisions for political reasons, not technical reasons. Hard for technical guys to grow in this environment",,
3.0,Great perks but that’s it,"Hardware Engineer (Current Employee) - Austin, TX - February 25, 2023","If you want to become a real hardware engineer go to a real hardware company . The office is great and fun but the learning is zilch . (Disclaimer : this is only about hardware teams , not the overall company )",,
5.0,A typical day at work,"Copy Typist (Current Employee) - India VISHAKAPATNAM - February 25, 2023",Exelant nice this is very big opertunity this company has very great I feel like so proud because I am coming from poor family I have a no back ground,,
3.0,Bad management,"Software Engineer (Former Employee) - Mountain View, CA - February 24, 2023","Full of politics, growth slows down.
The management keeps making wrong decisions for political reasons, not technical reasons. Hard for technical guys to grow in this environment",,
5.0,Productive team,"Regional security specialist (Current Employee) - Mountain View, CA - February 24, 2023",Good team and good people. One of the largest global Security Operations centers. Snacks and massage chair in the breakfast room and dog friendly ...plenty of OT,,
4.0,Fun,"Content Creator (Current Employee) - United States - February 22, 2023",Started with google before adsense or monetization was popular but google gave me the tools to help grow my channel and ever since then its been a great experience,,
4.0,Cool Place to Work,"TPM (Current Employee) - Remote - February 22, 2023",Overall I enjoy my job here. It can get stressful at times and there's lots of meetings but the benefits are work it. I am remote so I dont really get all the free food and amenities.,,
3.0,Buon clima,"IT Consultant (Former Employee) - Roma, Lazio - February 22, 2023","Buona azienda con attenzione particolare ai dipendenti.
Vengono messi a disposizione welfare,buoni pasto e quindi risulta piacevole lavorare in quest azienda",,
5.0,Great place to work,"Analyst (Current Employee) - Sunnyvale, CA - February 21, 2023",Work on High impact projects. A lot of Autonomy. Learn a lot from very smart people. Managers mean we’ll and tend to set you up for success. Some bureaucracy like all big companies,,
2.0,Ambiente instabile,"autista (Former Employee) - Lombardia - February 21, 2023","Ambiente lavorativo ottimo solo fra colleghi dello stesso settore, troppa instabilità, anche se lavori per vari progetti alla fine sei solo un numero da cancellare in base al ops lead di turno...",,
4.0,Very nice workplace,"Data Entry (Former Employee) - Bengal, IN - February 19, 2023",Workplace is very nice but they’ll fire you anytime so be ready for everything and have lot of savings. Nice place to work other than that everuthing is nice,,
5.0,Excellent,"Intern (Former Employee) - San Francisco, CA - February 18, 2023","Wonderful experience. High profile work. Good work-life balance. High expectations. Nice office. Collaborative setting. High pay. Overall, excellent experience.",,
5.0,Productive and fun place to work,"Software Developer (Current Employee) - Canada - February 18, 2023",Awesome experience. Wouldn’t trade it for anything. Sorry about the lay offs. I reallly like the compensation package. I look forward to many more years here.,,
4.0,Typical Internship,"Intern (Former Employee) - Remote - February 17, 2023",I was dealing with a personal matter and they weren't annoying like most management can be when hours are inconsistent. I appreciate flexibility. Noticed far more dudes & non-BIPOC where i worked. Diversity is said to be important but not really reflected.,,
3.0,good,"Manager (Former Employee) - Las Vegas, NV - February 17, 2023","Coaching can require a delicate balance, as the second-ranked trait of good managers at Google is that they do not micromanage employees and, instead, empower their team to take control of their own work and projects. In other words, feedback and advice can be extremely helpful for employees, but they also need to be given enough reign to get their work done without constant interference that can cause delays and hurt performance.",,
1.0,Empire in decline,"Product Manager (Current Employee) - Mountain View, CA - February 16, 2023","Google has been the most dysfunctional place I've ever worked. The quality of leadership is poor, especially at the middle management level. Projects are often launched with the aim of someone getting a promotion, and then quickly axed.

If you care about building things that impact users and solve problems, this isn't the place to do it.",,
5.0,Great place to work,"Software Developer (Former Employee) - Toronto, ON - February 16, 2023","Good place to work, great culture and people, nice compensation and best facilities. Best company in the world that can provide best compensation to people",,
4.0,Good Place to work,"Human Resources Manager (Former Employee) - Kirkland, WA - February 15, 2023",Good place to work. Pay is good. Benefits good. Very good home life balance. Can be stressful to meet quotas and find people. I would recommend as a good place to work.,,
4.0,"Great place to work, but not what it used to be","Director, Legal (Former Employee) - New York, NY - February 15, 2023",Lots of smart people who are caring and kind. Great perks. Well compensated. But the culture has somewhat eroded over the years and its not what it used to be.,,
3.0,Productive,"IT Technician (Former Employee) - Washington, DC - February 13, 2023","Pros

1) Food, food, food. 15+ cafes on main campus (MTV) alone. Mini-kitchens, snacks, drinks, free breakfast/lunch/dinner, all day, errr'day.

2) Benefits/perks. Free 24:7 gym access (on MTV campus). Free (self service) laundry (washer/dryer) available. Bowling alley. Volley ball pit. Custom-built and exclusive employee use only outdoor sport park (MTV). Free health/fitness assessments. Dog-friendly. Etc. etc. etc.

3) Compensation. In ~2010 or 2011, Google updated its compensation packages so that they were more competitive.

4) For the size of the organization (30K+), it has remained relatively innovative, nimble, and fast-paced and open with communication but, that is definitely changing (for the worse).

5) With so many departments, focus areas, and products, *in theory*, you should have plenty of opportunity to grow your career (horizontally or vertically). In practice, not true.

6) You get to work with some of the brightest, most innovative and hard-working/diligent minds in the industry. There's a ""con"" to that, too (see below).

Cons

1) Work/life balance. What balance? All those perks and benefits are an illusion. They keep you at work and they help you to be more productive. I've never met anybody at Google who actually time off on weekends or on vacations. You may not hear management say, ""You have to work on weekends/vacations"" but, they set the culture by doing so - and it inevitably trickles down. I don't know if Google inadvertently hires the work-a-holics or if they create work-a-holics in us. Regardless, I have seen way too many of the following: marriages",,
4.0,Good place to work,"Scheduler (Former Employee) - CBD - December 6, 2018","As a contractor, you are not expected of much performance at the same time can't excel much for career advancement. Contract agents will get you in with a lower pay in the brand name of Google. Just need to be tactful on that.","Free food, flexible working (WFH)",Contractors' separation from Googlers. Could be bullied at times
5.0,Productive and fun place,"Intern (Former Employee) - Toronto, ON - February 13, 2023",Great environment and really supportive of improving their employees. My internship got me to meet a lot of highly intellectual people and solidified my desire to work in tech.,,
4.0,Amazing,"Software Engineer (Former Employee) - Dublin, County Dublin - February 12, 2023","Great people and good culture. I always loved going to work there, the hours were decent and I got great benefits/wages. I only left because I wanted to work out abroad",,
5.0,Productive and fun working place,"Executive Assistant (Former Employee) - Switzerland County, IN - February 11, 2023","Good place to work, great work environment. earned a ton working here, great marketing strategy, amazing brands & lot of smart peoples to work with. Pretty decent working environment",,
5.0,Good day,"Marketing Executive (Former Employee) - Noida, Uttar Pradesh - February 10, 2023",Good company and good luck with your friends with a new one of interview at the beginning of interview at me to be a great day informed that day informed that day,,
4.0,Fun,"Software Engineer (Former Employee) - Weatherford, TX - February 10, 2023",A good reputation for being able too much strain to keep your life alive in a way to keep your mind off the internet with the most popular online resources,,
3.0,Just Average,"Receptionist (Current Employee) - Mountain View, CA - February 9, 2023","Google was an okay place to work. The culture wasn't that great, and the management was terrible, but they had a lot of perks. All in all, it was just an average company.",,
4.0,Productive and fun work place,"Consultant (Current Employee) - Irvine, CA - February 9, 2023","Well they laid me off but would work again here. IT was great to work with the people, not so much trust in management deciding you are disposable even if you have good performance reviews.",,
2.0,They make it look good on the outside but that's a lie,"Data Center Technician (Former Employee) - Pryor, OK - February 9, 2023",It's a toxic place to be. Google puts a pretty bow on some pretty terrible things. You are expendable. The food may it may not be good. You get micromanaged. The culture had gone downhill.,,
5.0,Still the best place for a newbie,"Senior Software Engineer (Former Employee) - New York, NY - February 9, 2023","Despite everything that's been happening, Google is still one of the best employers to get your software engineering career off the ground. It's the best ""school"" for software engineers one could ask for. You learn a lot, get paid well, and don't get stressed out. Work isn't always exciting, but once you stay on a team for a while and earn the trust of colleagues, the interesting work tends to come in.

Finally, Google is still a business, so please don't believe all the fairy tales on the Internet.",,
5.0,Great workplace,"Program Manager (Current Employee) - New York, NY - February 9, 2023",Love it. Currently a program manager and its great. My team is very helpful and I am given a lot of time to learn material to help my team. The perks and office are a plus,,
5.0,bien,"asesor de ventas (Former Employee) - cdmx - February 8, 2023",todo ok muybuena empresa para trabajar buenos horarios,,
5.0,Bit boring,"Senior Manager (Former Employee) - Appley Bridge, Lancashire - February 8, 2023",When you first join it is fun and you learn something new everyday but the longer you are there the more you start to get bored and you enjoy it less.,,
2.0,Laid off Golden12k,"Sales Assistant (Former Employee) - Singapore - February 8, 2023","Layoffs due to global tech firing. Overall decent company to work with, but dependent on team and bosses. For promotions in google, you have to show that you are performing at the next level before even being considered..",,
5.0,great place good fun,"admin (Former Employee) - wa - February 7, 2023",love this place. we go in get on our computers and do our job and then eat good food and go home. its a great job. I'd reccomemnd to everyone. only part that sucks is when they lay you off,,
5.0,Productive and fun work place,"Customer Service Representative (Former Employee) - Houston, TX - February 7, 2023","If you get the chance to work here, consider yourself blessed! I love the culture, benefits, people, and pay! I will never leave this company ever ever",,
1.0,Cool but stessful,"Janitor (Former Employee) - Toronto, ON - February 7, 2023","Cool but stressful environment and workspace, would recommend for new graduated but other than that, it is not worth joining. Has become very disorganized.",,
2.0,"Used to be great, now it's a ""conventional"" company","Senior Account Executive (Former Employee) - Atlanta, GA - February 6, 2023","(Most) Sales managers are not leaders, but rule because of their rank. Managers are not inspirational and are simply looking for more power through land grabs, taking credit for employees great work, calling them out on the poor work and don't care about helping those that report to them.

Great work goes unappreciated as managers focus on what you're doing wrong.

Trust is lost, there is no psychological safety any longer. I feel for those remaining at the company. It's so much better being on the outside looking in.",,
4.0,Fun work place,"Graphic Designer (Former Employee) - Toronto, ON - February 6, 2023","Working as a graphic designer at Google was a challenging but fun experience. The company demands the highest level of excellence from its employees, and this was reflected in the demanding and fast-paced work environment. However, despite the challenges, I found the atmosphere to be incredibly supportive and collaborative, making it a truly enjoyable place to work. The opportunity to work with some of the best and brightest minds in the industry was a highlight of my time at Google, and I was constantly learning and growing as a designer.",,
5.0,"Good pay, great WLB, but negative outlook on leadership.","Software Engineer (Current Employee) - Mountain View, CA - February 3, 2023","Google has been known as a top place to work at for technologists for quite some time now. Smart people, interesting projects, free food and good benefits.

Only think I dislike is spineless leadership and a decaying sense of job security with the recent layoff of over 12k+ people, a good portion of which were well-respected people.

Leadership never gives clear answers and take definitive stands, especially in regards to Googlers.",,
4.0,Amazing perks but unstable due to economy,"Software Engineer (Former Employee) - Mountain View, CA - February 3, 2023","Amazing place to work. Tons of brilliant engineers and talented people. Top-notch benefits (medical, dental, 401k, etc), Perks were amazing until after COVID. Things slowly started disappearing which later led to a mass layoffs.",,
4.0,Good place to work,"Scheduler (Former Employee) - CBD - December 6, 2018","As a contractor, you are not expected of much performance at the same time can't excel much for career advancement. Contract agents will get you in with a lower pay in the brand name of Google. Just need to be tactful on that.","Free food, flexible working (WFH)",Contractors' separation from Googlers. Could be bullied at times
5.0,Good Place,"Data Analyst (Former Employee) - San Francisco, CA - February 3, 2023","A good place to work. Decent pay. A little too much bureaucracy. A lot of opportunities for development. Cool colleagues. Big corporate atmosphere is omnipresent, that's the biggest downside.",,
4.0,Ha yaha par har k subidai hai,"I have no experience (Former Employee) - Dhekiajuli, Assam - February 2, 2023",Is campany main halatar kapre ko seles karna hota hai aur castamar ke sath achase pes ana hota hai,Ha yaha pe jitna kapre seles hoga utna faide hai,Yaha koi abhi kast ne hi hoga
5.0,Great company,"Customer Service Representative (Former Employee) - Toronto, ON - February 2, 2023",Great company and great ideas. Great management. Great leadership. A lot of opportunities to grow. They care about their employees and their products and profit.,,
1.0,No good,"Eval (Former Employee) - Tennessee - February 2, 2023",Just go else where you are a cog in the machine and will be let go as soon as it's convenient for them to replace you. Have fun working from home as a consultant.,,
4.0,A good place to grow,"Metrics & Reporting Specialist (Current Employee) - Taguig - February 1, 2023",On top of the other benefits they have a wide variety of trainings (with certifications) that you can take on your pace. Management values work life balance.,,
5.0,Dream Job,"Recruiter (Former Employee) - Mountain View, CA - February 1, 2023","This company is an absolute dream to work for. Granted, I was a contractor, although my experience was still seamless. It is a bummer that we experienced so many lay offs recently which makes them lose a great deal of respect and trust. My time there was spent always having a new adventure. There were so many different easter eggs to find, lots of different events and restaurants to attend to frequently. Everyday was filled with free food and coffee, a dream come true. Both of my dotted line managers were incredible. My team always showed that they cared for me and was willing to do anything they possibly could to allow me to succeed.",,
2.0,Decent career growth but broken performance evaluation system,"Regional product lead (Current Employee) - San Fransisco - January 31, 2023","Google has some great opportunities to grow within the company and learn new skills. Overall, the benefits and work life balance are good. However, the company rarely holds managers accountable for their performance and most of it's performance evaluation systems incentivize behaviors that may not be aligned to the long term success of the company. This causes people to work for promo projects and create unnecessary and useless work which eats up from the actual value and productivity they could have brought to their jobs",,
5.0,Good work-life balance and management,"Software Engineer (Former Employee) - Sunnyvale, CA - January 30, 2023",There is no micromanagement from my manager and I learned a lot from my colleagues. The work-life balance and free food here are good. There are many career growth opportunities and learning opportunities internally. And there are many events for holiday celebrations.,,
3.0,Working in Tech,"Software Engineer III (Current Employee) - Remote - January 28, 2023","Hiring process can be a bit difficult to navigate and took me almost 2 months from start to finish to get an offer. Even if you get past the hiring committee, you still need to match with a team to receive an offer.",,
5.0,"Fun Place to be , never know what to expect","Senior Technical Program Manager (Current Employee) - Mountain View, CA - January 27, 2023",Google is a great place to be and everyone cares about the work that they do. It is very corporate but the benefits are great and are enough to keep you going. Plenty of opportunities for training and learning new skills.,,
3.0,Fine,"Strategist (Former Employee) - Boston, MA - January 26, 2023",Got laid of during the layoffs so that wasnt fun but overall a fine place to work. nice office and the location was okay,,
5.0,very exciting fun,"Software Engineer (Current Employee) - San Jose, CA - January 23, 2023",it a reall great place to work and who can get a free thing it very exciting fun and they helpful people welling to help you come a be and a fun place,,
5.0,You Already Know,"Salesforce Developer (Former Employee) - Irvine, CA - January 23, 2023","Google is a great place to work, as you probably already know. That’s why everyone wants to work there. I never had work-life balance issues and the pay is top-dollar.",,
4.0,It was fun working here while it lasted,"Software Engineer (Former Employee) - Atlanta, GA - January 22, 2023","It was fun working here while it lasted, untl I got laid off last Friday with zero notice. Lot of great perks and advancement opportunities here, but the culture is certainly up or out.",,
5.0,Good benefits,"Program Manager (Current Employee) - Lithia Springs, GA - January 21, 2023","They take care of employees by giving decent benefits. Good health, good food, good leave benefits. Vacation policy just got improved, bonus amd stock options are all good",,
3.0,Corporate workplace,"People Operations Coordinator (Former Employee) - Mountain View, CA - January 21, 2023",Google has long since transformed from a dynamic setting to the usual corporate workplace. Your experience here will be highly dependent on who you have the fortunate (or misfortune) to have as your manager.,,
5.0,J'adore,"Consultant (Current Employee) - Paris (75) - January 21, 2023",Excellent bonne ambiance les équipes sont motivées et motivantes,,
5.0,Super,"Analyste programmeur (Former Employee) - ZH - January 20, 2023","Great company, heard they were known so I applied there.",,
3.0,Good work environment,"Fraud Analyst (Former Employee) - San Francisco, CA - January 20, 2023",Great work environment. Super easy to work there once you get acclimated. Worked there for about a year & it was ok. Didn’t have any issues. Would work there again.,,
2.0,"challenging, this place is not for web developers","J-Term Student/ Intern (Former Employee) - Cambridge, MA - January 19, 2023","Awesome place to learn about algorithms and the way they work on search engine and phone apps focuses on android.
It was hard to survive if you have only a background in design , web development. You must have knowledge of CS concept clear.
So far, I was a great place to learn.
Some managers are not friendly or it seems that they don't care in giving you any advise on your career.",,
4.0,Good place to work,"Scheduler (Former Employee) - CBD - December 6, 2018","As a contractor, you are not expected of much performance at the same time can't excel much for career advancement. Contract agents will get you in with a lower pay in the brand name of Google. Just need to be tactful on that.","Free food, flexible working (WFH)",Contractors' separation from Googlers. Could be bullied at times
5.0,Wfh,"Fundamentals Of Digital Marketing (Former Employee) - Remote - January 19, 2023",This was an online course with google which I throughly enjoyed. I would definitely recommend it as it was very informative and gave me all the knowledge of digital marketing,,
5.0,Fun place to work,"Scan Operator (Former Employee) - Mountain View, CA - January 15, 2023",Was a contract position and it was fun and easy. Would have stayed longer if I could. Liked how there were snacks available. Employees and management were nice.,,
1.0,Bad just bad,"Database Administrator (Former Employee) - Québec City, QC - January 15, 2023","Never have I worked at a more stressful, anger inducing job than this one. No time for yourself at home, lots and I do mean lots of work, mean co workers and bad management.",,
4.0,Productive,"Canteen Supervisor (Former Employee) - Tascott NSW - January 14, 2023",Very happy environment. Wonderful team and leadership. Great advancement opportunities and supported learning. Competitive pay and conditions. Supportive management.,,
4.0,The best place to work,"Web Developer (Current Employee) - Vancouver, BC - January 13, 2023","I've been working at google for about a year.
Still exploring, but the pay is really well, and they understand what is work-life balance so it's yes yes to work at google.",,
5.0,Productive and fun workplace,"Intern (Former Employee) - New York, NY - January 12, 2023","productive and fun workplace, very nice people and everyone was happy to help when I had questions about what I needed to do for my client projects!!!",,
4.0,Agreable,"Chef de projet SEO (Former Employee) - La Défense (92) - January 12, 2023",experience franchement magnifique et surtout extraord,,
4.0,"Great Coworkers, Tough Work Life Balance","Digital Strategy Lead (Former Employee) - Ann Arbor, MI - January 10, 2023","Changing expectations come from 20 levels up the chain, leaving managers and teams confused as to what to expect every quarter. Org structure and process changes on a dime, with lofty expectations.",,
5.0,Friendly and Informitive. Recomended.,"Shipping and Receiving (Current Employee) - Bimbo Elkhart In - January 10, 2023",It was a friendly work inviroment. With careing staff. They took there time to make job instuctions clear and nollagable. Would recomend this place to anyone looking for secure work.,,
5.0,Great company,"Software Engineer (Current Employee) - New York, NY - January 9, 2023","Great people, systems, and benefits. Respect for work-life balance. Interesting and challenging work. Google succeeds by not taking short cuts, and by investing in its own people and systems.",,
5.0,Very informative Place to work. Learned lots of new things and felt very comfortable while I gained knowledge with the people around me.,"Internet Technician (Former Employee) - Boise, ID - January 9, 2023","Great place to work, we had a kitchen that had fridges of energy drinks, candy bars, teas, and soda's. The environment was very laid back, often times we had nerf gun fights down our aisles we were working. Very enjoyable.",,
4.0,cool,"Chef de projet (Former Employee) - Paris (75) - January 9, 2023","entreprise bienveillante, bonne ambiance au travail",,
5.0,5 stars,"Senior Consultant, Owner (Current Employee) - Mountain View, CA - January 8, 2023","What is the best part of working at the company?
computer science and engineering, information systems and technology, research and development.

What is the most stressful part about working at the company?
new projects and consumer products.",,
5.0,Good,"Business Analyst (Current Employee) - Chicago, IL - January 6, 2023","Everything good nothing to say, great work environment",,
1.0,Not good,"Engineer (Former Employee) - Pasadena, CA - January 6, 2023","Pros

1) Food, food, food. 15+ cafes on main campus (MTV) alone. Mini-kitchens, snacks, drinks, free breakfast/lunch/dinner, all day, errr'day.

2) Benefits/perks. Free 24:7 gym access (on MTV campus). Free (self service) laundry (washer/dryer) available. Bowling alley. Volley ball pit. Custom-built and exclusive employee use only outdoor sport park (MTV). Free health/fitness assessments. Dog-friendly. Etc. etc. etc.

3) Compensation. In ~2010 or 2011, Google updated its compensation packages so that they were more competitive.

4) For the size of the organization (30K+), it has remained relatively innovative, nimble, and fast-paced and open with communication but, that is definitely changing (for the worse).",,
5.0,Fun,"Software Engineer (Former Employee) - San Francisco, CA - January 2, 2023",Very flexible hours! Lots of networking opportunities as well. I learned a lot in my role and I am looking forward to learning more from my supervisors,,
5.0,Productive and focused,"Financial Analyst (Former Employee) - Los Angeles, CA - December 30, 2022","Good team environment, good pay, management can be a bit frustrating at times but all in all a good experience and great resume booster. Perks are great.",,
4.0,Yes,"CEO (Former Employee) - Dallas-Fort Worth, TX - December 29, 2022","With a small company you get to wear a lot of hats so no work day is ever the same.
Cons

Dealing with Insurance companies is a headache
See All 3 Reviews
Diversity & Inclusion at Elite Sports Physical Therapy",,
3.0,Great team members but limited technical growth,"Software Engineer (Current Employee) - Sunnyvale, CA - December 27, 2022","A good place to work but not great.

GRAD introduces some mess but it's needed to have a good quality of engineers otherwise too many coasters.

Some engeineers are excellent and smart while some are lazy and coasting.

The management depends on teams and mine is not lucky too much.",,
5.0,Relaxed fun workplace,"Process Associate (Former Employee) - Hyderabad, Telangana - December 26, 2022","Salary is very low , we get the job through consultancy they pays very low salary . I think 1/3rd of original salary they will pay. Work culture is very good. Paying salary timely every month .",,
4.0,Good place to work,"Scheduler (Former Employee) - CBD - December 6, 2018","As a contractor, you are not expected of much performance at the same time can't excel much for career advancement. Contract agents will get you in with a lower pay in the brand name of Google. Just need to be tactful on that.","Free food, flexible working (WFH)",Contractors' separation from Googlers. Could be bullied at times
5.0,Good,"N/A (Former Employee) - New York, NY - December 22, 2022","Your basic 9 to 5. Except we have quite a bit of flexibility of when to start and end. Some people like to start at 10, others at 8. Working crazy hours is actively discouraged, because when you are tired you produce .",,
3.0,Poor morale,"Accounts Assistant (Former Employee) - Edinburgh, City of Edinburgh - December 18, 2022","Working from home
Free lunches
Good team environment
Training opportunities
Excellent facilities

Lacking direction
Management culture
Work can be continuous",,
5.0,Great workplace,"Software Engineer (Current Employee) - Mountain View, CA - December 15, 2022","Working at Google is an amazing experience. The company culture is incredibly supportive and collaborative, and the tech is always cutting-edge. I have been able to work on some of the most challenging and rewarding projects of my career here. The benefits are top-notch, and the work-life balance is great. The office spaces are beautiful and inspiring, and the people are some of the most intelligent and creative I have ever worked with. I would highly recommend working at Google to anyone looking for a rewarding career.",,
4.0,Centralized and productive infrastructure platform to give your best possible work.,"Product/Program Manager (Current Employee) - Sunnyvale, CA - December 14, 2022","Best centralized and productive infrastructure platform to work, and work culture
Learned expert level proficiency and efficient communication
Enjoyed the free Coffee, as it made my day productive",,
5.0,Great,"Senior Software Engineer (Former Employee) - Chicago, IL - December 14, 2022","It was the best job I could ask for. Dream job actually, I am proud to see google grow and grow each and every day. I miss being there. It was fun and relaxing.",,
4.0,good place,"HR Assistant (Current Employee) - New York, NY - December 13, 2022",great place to work at. met a lot of great people and learned a lot of stuff being there. Free meals on site and sleeping pods. Can sometimes be stressful but overall fun.,,
5.0,Fun place,"Doctor (Former Employee) - San Jose, CA - December 13, 2022",I was a great doctor at google lots of good experiences and great patients as well however I left because the salary was low for a physician in the area,,
3.0,Productive and fun workplace,"Developer (Current Employee) - San Diego, CA - December 13, 2022",It’s a great place to gain credibility on your portfolio and resume but expect a high workload and high likelihood of layoffs due to its large size and ability to easily make cuts,,
5.0,Great,"Customer Service Representative (Former Employee) - San Diego, CA - December 9, 2022",They look after their employees and make the work place fun. They also have a great work life balance which goes a long way for me. I'd highly recommend for anyone.,,
5.0,Productive and fun place to work,"Sourcing Specialist (Current Employee) - Austin, TX - December 8, 2022",Great place to work!Friendly and fun environment. Great support form management. Great perks and really cool office spaces. Free lunch and breakfast at office!,,
1.0,Productive and fun,"general worker (Former Employee) - Kimberley, Northern Cape - December 7, 2022",It’s was a very enjoyable experience and provides a lot of opportunity to grow and develop character. You can do things at your own time and the pay is determined by you input,,
4.0,It was okay,"Search Consultant (Former Employee) - York, North Yorkshire - December 5, 2022",It was okay I guess nothing to call home about decent pay so I guess technically it would be a win win situation especially with the current climate .,,
5.0,Great atmosphere,"Security Officer (Former Employee) - Sydney NSW - December 5, 2022","Stressful a bit but rewarding and challenging. Job was bit hard and complicated. Timing was very difficult. 6 am to 6pm and 6pm to 6am
Work was very fast",,
