Rating,Title,Author,Review Description,Pro,Con
5.0,Real talk,"Data Analyst (Former Employee) - Remote - December 29, 2022","There are many different things I could say, but in summary... If you get the opportunity to work here...DO IT. It is not only an amazing learning opportunity it is as wonderful place to network.",,
4.0,Good place lots of nice people,"Office Manager (Current Employee) - San Antonio, TX - December 13, 2022",Like my work my boss is nice to me and get along well and get a lot of work done. The flexibility is sometimes annoying because I cant take work off to go watch my kids games.,,
5.0,Great company,"Business Analyst (Former Employee) - San Antonio, TX - November 30, 2022",Great company really made me and my family feel great I would go back if I didn’t move away for another opportunity at nother company but what a great company.,,
4.0,Stable Employment but Workload Can be A Problem,"Executive Assistant (Current Employee) - Los Angeles, CA - November 29, 2022",I came from a smaller production company where I performed 2 and sometimes 3 jobs for 1 pay. When I first arrived at Netflix I felt a sigh of relief. I became an expert at my 1 job and even took on some additional duties but lately it seems they are trying to pile on more duties to cut costs and keep from hiring/filling departments. They have the money to hire great talent and they should continue to do so.,,
1.0,1 star,"Roperty person (Former Employee) - Los Angeles, CA - November 29, 2022","What is the best part of working at the company?
I worked in production

What is the most stressful part about working at the company?
Nothing it was a union production job

What is the work environment and culture like at the company?
Same as them all in production

What is a typical day like for you at the company?
14 hours of chaos",,
1.0,Unwritten Rules,"Freelancer (Former Employee) - Hollywood, CA - November 27, 2022","Quality of work is in decline. There are ""no rules"", so employees can act unethically and immorally. There are a lot of ""unwritten rules"". A lot of ""Mean Girls""-like mentality. Popularity is valued more than expertise or logical reasoning and insight. Managers flat out state ""I don't care"". Onboarding was incorrect and compromised job performance. Payroll lied. Accountability is evaded. Human Resources made things worse. Executive titles and ""managing directors"" spent more time slacking defamatory gossip and non-work-related nonsense, as opposed to modeling leadership.",,
5.0,5 stars,"Material Handler (Former Employee) - Fremont, CA - November 20, 2022","What is the best part of working at the company?
Company managers and supervisor treats everyone equally. As an assemler yeah they are the nicest boss ive ever had. Company is fair in salary and holidays gift surprises from the company.

What is the most stressful part about working at the company?
To me inever had stress when i work at netflix job is easy fun not stressful.

What is the work environment and culture like at the company?
Clean work area and workers are easy to get along with.

What is a typical day like for you at the company?
Everyday! Job is the same everyday sometimes everybody gets more work time. That is if you want more time .",,
3.0,High Performance Culture to Challenge You,"HR (Former Employee) - Los Angeles, CA - November 17, 2022","Netflix asks for a lot from its employees. They pay well, but it's not uncommon for your family to feel like they're the second priority. You are asked to show up fully and with vulnerability (aka seek feedback and give feedback), but the risk is you're then judged. There is not a lot of sincere compassion or curiosity from leadership for the employee experience. The sentiment is""love it or leave it"" and ""it's not for everybody."" That lack of empathy plays out even more harshly if an employee is from a historically excluded community.",,
1.0,1 star,"Customer Service Representative (Former Employee) - Fremont, CA - November 17, 2022","What is the best part of working at the company?
Working at the call center, they treat you as if you were shackled to the phones. You are timed when going to the bathroom, for women it’s worse.

What is the most stressful part about working at the company?
Poor managements

What is the work environment and culture like at the company?
Unhealthy. Some team members came in in their pjs or looked homeless.

What is a typical day like for you at the company?
Long and stressful",,
5.0,Yes,"Auditor (Current Employee) - California - November 11, 2022","Do it, you wont regret it. Fun work culture. Meet a little bit of everybody and you get to travel. Overall no cons, i enjoy the work that I do and management is understanding.",,
3.0,good,"editor (Former Employee) - United States - October 24, 2022","Good work life balance, understanding managers, strong culture. Bennefits package is good too. People are nice and friendly, very international. Growing inside the company might be challenging.",,
5.0,Fun and Stress Free,"Customer Service Representative (Current Employee) - UP Town center CP Garcia katipunan Quezon City - March 16, 2017","Its a morning shift and we normally handled calls about our customer Netflix's account if they have difficulties in getting netflix, billls and payment also inquiries about movies and shows that netflix offers.Netflix always teach us to be friends with our customer for us to create a good customer service. Netfix also provides us excellent working environment, facilities are good we have entertainment rooms were we can watch movies and play during our free time. Best part is learning new things everyday and use it to help my customer with their concerns.",,
4.0,its ok,"Editor (Former Employee) - United Kingdom - October 24, 2022",Great place that pushes you beyond your everyday duties. You will be expected to be involved in outside projects that benefit the greater team. You will be expected to give and receive criticism from your peers as a way to improve your processes and work flows.,compensation,no respect
5.0,Nice place to work,"Data Analyst (Former Employee) - United States - October 6, 2022","A typical day is pretty exhausting. I learned that it’s a good company to work at, management is pretty strict and peers great to work with. Very demanding",,
3.0,no me encanta,"nobody (Former Employee) - mexico - September 28, 2022",su management no esta a la altura de las espectativas asi como la definicion del trabajo y el trabajo en equipo,,
5.0,Community,"Production Worker (Former Employee) - Grove City, OH - September 23, 2022",Great place to work! Close knit family like environment! They take care of their employees and communicate effectively. It was my favorite job that I love ever had!,,
4.0,Pretty good employer!,"Technical Research Analyst (Former Employee) - Amsterdam - August 24, 2022","Good work life balance, understanding managers, strong culture. Bennefits package is good too. People are nice and friendly, very international. Growing inside the company might be challenging.",,
4.0,Feedback Culture,"Talent Coordinator (Former Employee) - Los Gatos, CA - August 19, 2022",Great place that pushes you beyond your everyday duties. You will be expected to be involved in outside projects that benefit the greater team. You will be expected to give and receive criticism from your peers as a way to improve your processes and work flows.,,
5.0,Best place to work,"Customer Service Representative (Former Employee) - Salt Lake City, UT - July 30, 2022","I loved it here, the break/lunch room was so amazing i still dream about it, the environment is super cool and the way the supervisors make each team super unique is amazing.",,
5.0,Amazing vibe,"Operations & Support Specialist (Former Employee) - Amsterdam - July 15, 2022",I have enjoyed every moment of the time I have worked for Netflix. They really made you feel appreciated and valued. I can't think of anything negative about Netflix. Very nice food and drinks for free!,,
4.0,Great,"Data Analyst (Former Employee) - San Francisco, CA - July 12, 2022","Learn a lot, get payed a lot. Super fun.
Young people.
Good benefits.
Decent Management.

Its a fun company to work for.
No opportunity to innovative in all roles.
Job security..",,
5.0,Netflix is a company who give me a support to learn everything in Netflix. They were really friendly and helpful. Netflix is extremely good,"Ad clicking and typing documents (Former Employee) - Srilanka - July 12, 2022",Netflix is a world wide company. They are friendly and kind they have good customer base. I can manage my time because Netflix give us good and time managing tasks . I have completed my task at time. Netflix paid my salaries at time. If I have a chance to work on Netflix again. It will be a great opportunity to me because Netflix is really kind and friendly they helped us. Netflix is extremely good. I'm happy with Netflix.,,
5.0,Nice,"Actor (Former Employee) - Shepperton, Surrey - July 5, 2022","It is what it is, production company was gave lovely experience. Lots of lovely lovely people. Cast and Crew are excellent. Love that production company.",,
5.0,Brilliant minds and amazing culture,"Netflix Technology Support Specialist (Current Employee) - London - July 3, 2022","Your colleagues are literally superstars in their fields and if you get an interview/offer it means you’re a rock star too!

Benefits are double market rate and work/life balance is incredible. Unlimited holiday.

Very competitive so you must bring your A game to work always.

You can be let go anytime due to business needs or if you’re not one of the best productively.",,
3.0,Sometimes good sometimes bad,"Team Lead (Former Employee) - Denver, CO - June 15, 2022",Always had contests to make the work environment a great place to work. I do not know if the stressful calls without much help for management is worth sticking around for the contests. Seems like there is always a shift bid going on and the available shifts change dramatically within each 3 month period. This makes it hard for people with kids. You may get a 6am to 2pm shift one time and then company will get rid of that shift all together and depending on where you are in seniority or stats yuh could end up with a 4pm to midnight shift. You just never know.,,
3.0,Horrible Management,"Project Manager (Former Employee) - Remote - May 30, 2022","Even with 9+ years of experience in my field, I was micromanaged to death! Disgusting lack of trust and inherent fear amongst teammates. Abysmal leadership.

I was also thrown onto multiple projects on my third week without any guidance.

Company benefits and pay were amazing, though. Super top notch stuff!",,
5.0,great place to work,"Customer Service Manager (CSM) (Former Employee) - Clearwater, FL - May 23, 2022",Its a great place to work really loved the people and the culture and the job. In CS its very unique they don't have typical ways of dealing with customers and its great.,,
4.0,Goeie salaris en leuke kantoor verder sekte gedrag willen alles weten en het liefst willen ze dat je 24/7 met netlfix bezig bent,"CSR1 (Former Employee) - Amsterdam - May 16, 2022","Goeie salaris en leuke kantoor verder sekte gedrag willen alles weten en het liefst willen ze dat je 24/7 met netlfix bezig bent

Doorgroeien gaat alleen via vriendjespolitiek word totaal niet gekeken naar skills meer naar je sociale status binnen de groep",,
3.0,They will lay you off for India reps,"CSR - Customer Service Representative (Former Employee) - Salt Lake City, UT - May 11, 2022",Great place for good pay and benefits. Not difficult to do job at all. The did have alot of flexible attendance options to avoid tardiness and swap days.,,
5.0,"Productive, Inclusive, accommodating, and overall stable workplace.","Customer Service Rep (Former Employee) - Salt Lake City, UT - April 29, 2022","When Netflix shut down it's call center my heart broke. I finally felt like I had found a stable job with reasonable pay and benefits that I could work at forever and work my way up. I felt such pride working for this company and that was a huge deal for me. I wanted to work somewhere brag worthy, and that call center was it. I loved literally everyone I worked with. I'm not sure I'll ever feel as satisfied working any other job and I wish daily they didn't outsource all their call centers and shut us down. It's been years and I still miss that job.",,
5.0,Funplace,"Netflix Customer Service Representative (Former Employee) - Nuevo León - March 28, 2022",It was really good and easy going job but then the campaign was sold and they had to let us go but it was one of the best jobs I have ever had and I will love to be back,,
1.0,Just terrible,"Customer Service Associate (Former Employee) - Hillsboro, OR - March 22, 2022","My 3 years there were the 3 worst years of my working life. It was an awful experience working with a company bloated with too many inept managers. I was ultimately let go for reading a gardening book at my desk between calls, a rule that was never written down and none of my colleagues had heard spoken. They were a bunch of no talent clowns.",,
5.0,Fun and Stress Free,"Customer Service Representative (Current Employee) - UP Town center CP Garcia katipunan Quezon City - March 16, 2017","Its a morning shift and we normally handled calls about our customer Netflix's account if they have difficulties in getting netflix, billls and payment also inquiries about movies and shows that netflix offers.Netflix always teach us to be friends with our customer for us to create a good customer service. Netfix also provides us excellent working environment, facilities are good we have entertainment rooms were we can watch movies and play during our free time. Best part is learning new things everyday and use it to help my customer with their concerns.",,
5.0,"Productive and fun place to work at, they are very respectful and everyone gets along, no drama. Excellent work ethics, my favorite job of my life!","Customer Service Representative (Current Employee) - California - March 21, 2022","Everything at Netflix is wonderful. Great!! I love it there. Change is good and I'm only part time now so I'm looking for a full time job and it I have been there for 7 years, it is time to explore other options.",,
2.0,Tense and stressful workplace,"Production Assistant (Former Employee) - Cleveland, OH - March 18, 2022","Judging by the questions, I’m assuming this doesn’t have to do with working on set for Netflix. All I can say is, out of the couple times I ended up working for Netflix, specifically the last time: the management was the worst out of any job I’ve ever worked. The policies were absolutely ludicrous to the point where changes had to be made urgently in the middle of the project. I wouldn’t care if they knew who wrote this.",Guaranteed long work,"Short breaks, no breaks, awful bosses, disrespect is a norm."
4.0,Dream job while you're useful,"Project Manager (Former Employee) - Los Angeles, CA - March 14, 2022","Disclaimer: I was laid off as part of a reorganization (1 of 10), but I would have written the same review had I been the one who was spared. In the 5+ years that I worked at NF, 4 first years were awesome. I often felt elated, I loved going to work both physically and then virtually due to COVID. Mature, caring colleagues, interesting work, lots of learning, wonderful connections. I joined when my team was in the startup phase, and it was the best time for ideas and trying new things with no budget limitations. Gradually, over the course of the following 5 years, the need to scale led to constant changes, both of leadership and workflows. Team leaders were being ""let go"" on average every 1.5 years if not sooner. There was barely enough time to become good at what one does as yet another big reorg/title change would come around. Lastly, the team came under the leadership of people who had absolutely no knowledge of the team's specialty, but were ""experts"" in strategizing and optimizing processes.
Eventually it shifted from being people-driven to process-driven, from collegial to top-down. The bottom line started winning over quality while business needs outweighed everything else.
Pros:
Awesome colleagues
Productive work environment
Top of market pay, nice perks
Lots of learning opportunities through constant change

Cons:
Low job security
Process driven vs people driven
Constant change
High level of ambiguity",,
5.0,Dordy job,"Dordy (Current Employee) - London, Greater London - February 24, 2022",Was good as anything good job bare money and good as anything man had to watch the tv all day and that free money easy money at the end of the day my son…,,
5.0,Great employer. Nice pay. Cool culture. Genuine.,"Health & Safety Monitor (Former Employee) - New Orleans, LA - February 21, 2022","Long hours. Great people. No drama.

The people were really nice and the company did not really spare any expense to strive to make a movie of a high caliber.",,
3.0,Generally a decent place but turnover is high and work appreciation is low,"Administrative Assistant (Former Employee) - Los Angeles, CA - February 4, 2022","I initially enjoyed working here but I noticed that sometimes you’re not appreciated for the work that you do well and, instead, you’re criticized for what you may not do well. Scheduling and calendar management are major for assistants but they’ll also throw project work on you which is what a coordinator should be doing - not an admin.",,
2.0,"The over emphasis on DEI is maddening
Their entire company is modeled around 1 percent of the population","Artist (Current Employee) - Burbank, CA - January 29, 2022","Job security is zero. Once your contract is up you need to re-apply to work on another project.
Constant emphasis on inclusion and diversity makes it feel like that is the only reason the company exist.
And if you don’t agree, of course, you are not included.",,
1.0,"Sounds great from the outside, totally different on the inside","Engineer (Current Employee) - Los Angeles, CA - December 16, 2021","Be ready to be worked into the dirt. There's no such thing as a work-life balance here.

Managers protect each other and act counter to the company culture, then gaslight you by saying you're misinterpreting the culture.

Politics is the only way to get ahead and be ready to be passed up for promotions or more responsibilities by those who play the game better, even if their work is terrible.",,
5.0,"Yoga balls are slippery and we need more catered food with fruits and vegetables, imported and poached correctly.","ON SET CoVID-19 Red Zone Cleaner (Current Employee) - Boston, MA - December 13, 2021","I really liked working with everyone in a diverse work setting. I like family settings, food, and structurally sound sets built locally. I review this job is amazing because I live locally. My family lived in the South Shore and my Fiancée lived nearby and I never snuck away to visit for holidays due to quarantine and FMLA, mainly the CDC.",,
5.0,Great opportunity,"Writer/Producer (Current Employee) - Vancouver, BC - November 24, 2021","Have been a wonderful place to help me learn the act of script writing , how to do daily script changes, camera set up. Writing down what you visually want to see.
Working with storyboard artists to get the look right.",,
4.0,"Good, but not great.","Janitor (Former Employee) - Fresno, CA - November 17, 2021","When I worked here, I was very happy! The pay was satisfying, and there were little to no cons! However, as I started overachieving at work, I never got a raise! That is why I'm giving it a 4 and not a 5.",,
5.0,Best company,"Customer Service Representative (Former Employee) - Fremont, CA - November 13, 2021",This was one of if not the best company I’ve worked for. The culture the people just the overall vibe was awesome. I definitely would recommend working here.,,
5.0,Good income,"Customer Service Representative (Former Employee) - Clearwater, FL - November 3, 2021",Really good pay. Pretty easy but incoming calls can be nonstop at certain times. Down time is fun because you can play group games or mess around with different consoles,,
5.0,One of the Best Places to work,"Customer Service Representative (Former Employee) - Salt Lake City, UT - October 28, 2021",Happy kind positive amazing place to work. I was able to come to work and find out what my skills were and I will always be appreciative of Netflix for that! Thank you for helping me realize a workplace can be and should be better!! You are amazing I’m sad you left Salt Lake! 😔,,
4.0,bueno,"Maquillador profesional,. (Former Employee) - New York, NY - October 10, 2021",muy bueno el ambiente laboral con los compañeros y ayuda,,
3.0,Good but bad,"Management Trainee Intern (Former Employee) - California - September 15, 2021","They offered a high salary. The working environment was good, however there was a culture of fear which everyone was talking about. Seeing my mates getting fired often, I found out I'm working in a place where my space was not secured.",,
3.0,Basic Call Center,"Customer Service Representative (Former Employee) - Hillsboro, OR - August 31, 2021","Not a great place to work. Expectations were high, morale was low. Nearly unreachable goals and management was just the guy who sat next to you who had the best call times.",,
5.0,Best place I have ever worked,"Machine Operator (Former Employee) - Minneapolis, MN - August 5, 2021","The DVD.com hub I worked at was wonderful, very few employees, very laid-back atmosphere, but highly efficient and productive, encouraging self-motivation. If you wanted to learn more positions, you could, if you were content with the same tasks then you could didn't have to learn new ones. They paid very well for the work, offered paid time off, retirement and really great monthly gifts even for part time employees!
The work itself is fairly monotonous, usually just loading and unloading DVD's and troubleshooting jams in the machinery, but what warehouse isn't monotonous. The flexibility to learn more positions allows a person to take on the level of challenge they are feeling up to that day.",,
2.0,Not the best working environment,"Customer Service Representative (Former Employee) - Farmington Hills, MI - August 4, 2021",Environment was unprofessional. They didn’t pay well. Training was decent. Room for growth to becoming a leader or tier 2 representative. Contract eventually expired.,,
3.0,"High salary, no growth, selfish management.","Support Staff (Former Employee) - Los Angeles, CA - August 1, 2021","You’ll never be paid more for a job as they pay top of market and definitely mean it. There’s a heavy amount of nepotism and friend hook ups happening at the company. If you have a disagreement or run in with a manager your chances of survival are nearly none. Netflix is the Las Vegas of jobs, gambling high risk high reward against a potential huge let down should you get on someone’s bad side. There’s virtually no growth in the company anymore as things are too corporate. Don’t believe the legends of people starting out as assistants and becoming Vice Presidents. That doesn’t happen there anymore, it’s become just another top heavy corporation. Great salary, little future, zero security.",,
5.0,Fun and Stress Free,"Customer Service Representative (Current Employee) - UP Town center CP Garcia katipunan Quezon City - March 16, 2017","Its a morning shift and we normally handled calls about our customer Netflix's account if they have difficulties in getting netflix, billls and payment also inquiries about movies and shows that netflix offers.Netflix always teach us to be friends with our customer for us to create a good customer service. Netfix also provides us excellent working environment, facilities are good we have entertainment rooms were we can watch movies and play during our free time. Best part is learning new things everyday and use it to help my customer with their concerns.",,
5.0,Culture,"Manager - Design and Construction (Former Employee) - Los Angeles, CA - July 23, 2021","It is unlike any place that i have worked. It is challenging work, but rewarded with a generous (top of market) salary, and an unparallelled benefits package. Usually with full health, 401k and stock options.",,
5.0,Netflix Rules,"CSR - Customer Service Representative (Former Employee) - Mesa, AZ - July 19, 2021","I had the best time working at Netflix. Although my position was short lived because I had other jobs, I saw room for growth within the company and I the teams. It was great being able to get a account with Netflix and seeing all the programs coming out. Helping customers is a plus!! Great job for the pay too! $15 and up!!","Free food on special days, games, fun teamwork",Short bathroom and lunch breaks.
3.0,Company had a bad system,"Customer Service Representative (Former Employee) - Frisco, TX - July 14, 2021",All Netflix cared about was getting the customer off the phone in 7 minutes or less. All they wanted you to do was send them the emails in the support page and hang up. If your average call time was above seven minutes you had to go into coaching. The more calls the more money and less helping people. Job tookcl years off my life from the stress of working 5 to 2am.,,
5.0,Einde van een area,"Klantenserivce medewerker, adviseren, problemen oplossen (Former Employee) - Amsterdam Westpoort - July 5, 2021","Toen ik net begon bij Netflix was het geweldig!! veel vrijheid ontbijt buffet en warme maaltijden en lekker netflixen als het rustig is;)

maar halverwege werd het bedrijf verkocht en toen ging het alleen maar slechter... en kreeg bijna iedereen ontslag",,
1.0,Had better,"Mail (Former Employee) - Ohio - June 27, 2021",Had better jobs. Laid off due to pandemic. Worked me 5 days a week even being part time. Volume dropped tremendously. People standing around doing nothing while being paid.,,
5.0,The support from management,"Technical Support Representative (Former Employee) - Montego Bay - June 15, 2021",Netflix was an amazing place ro work. We received several bonuses and rewards for or work and we treated with respect. We also got devices and we were open to promotion opportunities.,,
4.0,Pretty Good,"Director of Operations (Former Employee) - New Jersey - June 11, 2021","They offer a great place to work. Excellent culture and the office space is incredible. Helpful team always answering my questions, never feeling left out.",,
5.0,Calidad y profesionalismo.,"Story Creative Consultant (Former Employee) - remoto - May 29, 2021",Buen equipo con alcance global. Temas interesantes. Grandes audiencias.,,
5.0,Multicultural place that embraces collaboration,"Coordinator (Former Employee) - Los Angeles, CA - May 17, 2021",Great culture. Sometimes too many meetings but they're trying to decrease those in general. Personal time is prioritized if needed but work can bleed into evenings occasionally.,,
5.0,Wholesale Department,"Warehouse Associate (Former Employee) - Sunnyvale, CA - May 7, 2021","It was fun. Very fast paced! Got to meet a lot of people from all walks of life. Worked from 2am to 11am plus some OT some days. Wish our department never closed/moved to another state! Otherwise, I’d still be working there.",,
5.0,"Great culture, rewarding experience.","Director of Operations (Current Employee) - Philippines - April 5, 2021","Netflix is probably the best company I have worked for. The culture that is often spoken about is real and in practice daily. There is good support from the leadership team, a great vibe and a shared vision. The freedom that is given is initially a little hard to adjust to, some abuse it and don’t tend to last, others thrive in the environment. It’s been 4 years that I have been with Netflix and everyday feels like the first, exciting, fast paced- just overall awesome!",,
3.0,Monotonous,"Customer Service Representative (Former Employee) - Salt Lake City, UT - March 8, 2021","It's just a typical call center. Calls come in one after another and it's usually the same conversations over and over. The pay was great for an entry level job and the benefits were nice too, but don't expect to learn much with limited growth opportunities.",,
5.0,Great place to work!,"Customer service representative (Former Employee) - Salt Lake City, UT - February 27, 2021",This place was so fun to work for. Great atmosphere and my job was really fun. I would definitely recommend applying. They are very competitive and make sure that they hire only the best.,,
5.0,Amazing place to work!,"Jim on ""No Good Nick"" (Former Employee) - Los Angeles, CA - February 2, 2021","Had a fun time, great work environment, fantastic people! Everyone gets along, and the staff are all fun and excited to be there. Fantastic food every day as well!",,
4.0,Great company,"Customer Service Representative (Former Employee) - Frisco, TX - January 31, 2021",When I worked there I enjoyed the csr role that I had. I felt like they had decent leadership as well. I would recommend working there to one of my colleagues,,
2.0,Inclusivity Restructured,"Freelance Contractor (Former Employee) - Los Angeles, CA - January 31, 2021","I specifically left a good job w/ managers I actually trusted, to come work for Netflix because of the culture they advertised. I eventually learned the culture did not apply to me, as explained by HR. The HR Business Partner was completely ineffective & only went out of their way conceal concerns I had. Once I began to speak up, I was retaliated against.
The culture is lip service and is not practiced in the work environment. If it is, exceptions have been made and the culture does not apply to everyone. There is most definitely a ""culture of fear"" & I unfortunately witnessed it firsthand.
These were some of the slimiest managers & producers I've ever had the displeasure of working with, they possess the morals of guinea pigs.
There was also tampering with my payroll information & incorrect information purposely placed in my records.",,
1.0,Horrible management team.,"Customer Service Supervisor III (Former Employee) - Hillsboro, OR - January 21, 2021",Great people can be found however the toxic environment usually pushes the good ones away fast. I have never written one of these but run away from this place...don't walk. Promises are frequent but management is brutal. I have been in management for 20 years and never seen anything this bad.,,
3.0,"Fun place to work, typical customer service job.","Customer Service Representative (Former Employee) - Salt Lake City, UT - January 21, 2021","Management changes up every six months, they coached us every week. But the customers were usually pretty nice. You'd get the usual entitled customer who'd be very demanding as to why their netflix didn't work. But what do you expect.",,
5.0,Excellent leadership,"Customer Service Representative (Current Employee) - Clearwater, FL - January 19, 2021",The leadership there is incredible and they want you to succeed. The job itself is really simple but does require a lot of patience. There's room to grow and your supervisors will help you to succeed. You get weekly meetings to help you achieve your goals.,,
5.0,"Great management, great perks, wonderful co workers","Customer Service Representative (Former Employee) - Fremont, CA - January 8, 2021","Just and overall great company to work for, great management and special events for employees. Free lunches and snacks, free coffee, tea and soft drinks. Best job I ever had",,
5.0,Fun and Stress Free,"Customer Service Representative (Current Employee) - UP Town center CP Garcia katipunan Quezon City - March 16, 2017","Its a morning shift and we normally handled calls about our customer Netflix's account if they have difficulties in getting netflix, billls and payment also inquiries about movies and shows that netflix offers.Netflix always teach us to be friends with our customer for us to create a good customer service. Netfix also provides us excellent working environment, facilities are good we have entertainment rooms were we can watch movies and play during our free time. Best part is learning new things everyday and use it to help my customer with their concerns.",,
5.0,"-Amazing culture, great people, fun place to work at","Customer Service Representative (Former Employee) - Salt Lake City, UT - December 23, 2020",Netflix cs was one of my best jobs I’ve ever had. Awesome culture and the people there are amazing. Pay was good and the job itself wasn’t bad. Overall it was a fun place to work at.,"Benefits, people, management, swag, room for advancement","When Netflix cs sold out to another company, not enough between time"
3.0,"Great pay, cutthroat environment","Public policy (Former Employee) - Los Angeles, CA - November 18, 2020","Great pay, no job security. People don’t like to share job duties in an effort to protect their own jobs. Way too much time wasted in endless meetings.",,
5.0,great place to work,"Engineer (Current Employee) - Los Gatos, CA - October 16, 2020","- Work and culture is good
- Interesting work
- Benefits are good
- Inclusive
- If you can learn on your own and confident on skill sets, it is great place to work",,
4.0,Nice international atmosphere,"Customer Service Representative (Former Employee) - Amsterdam - October 15, 2020","Sweet and simple recruiting process, online assessment+video interview.
Initial training in the first few days then off to work. It is a nice company and you are somewhat free to handle the customer calls, unlike most call centres where you feel like a robot.
Working in shifts but rooster provided in advance and you can always trade shifts with a willing colleague.",,
5.0,Agradable y muy competitivo,"Supervisora equipo de Frances (Former Employee) - Monterrey, N. L. - September 23, 2020","Es importante tener una seguridad en si misma, una experiencia en servicio al cliente es un plus.Tener paciencia y tener valores como respeto, honestidad...",,
3.0,"Arbeit wenig anspruchsvoll, Orga des Unternehmens schlecht","Mitarbeiterin im Kundensupport in Lissabon (Former Employee) - Lissabon - September 21, 2020","Die Arbeit hat keine großen Höhen und Tiefen gehabt. Monotonie des Alltags war leider Tagesordnung. Super Vorgesetze und Trainer, dadurch wurde es angenehm.
Leider hat das Unternehmen verwaltungtechnisch versagt.",,
1.0,Unreasonable,"CSR (Former Employee) - Mesa, AZ - September 16, 2020",I have never worked for a company that showed so little care about its employees. I had to deal with 2 trainers neither knowing how to do the job they are training you for. Most questions are always ignored as your told to look it up. Often times if you struggle or need any explanation during training you will get ignored completely. Half the time you are working if you need a supervisor or lead to assist in a case you'll end up waiting 20 minutes just to get a response. They fired me because I left work halfway through the day after clearly showing I was too ill to perform my duties that day. Because half a day is more important than my health. never work for this company they do not care about you and will drop you like a fly the moment you aren't a top performing model employee with near perfect health and immunity to all disease.,,
5.0,El ambiente de trabajo,"Operations Associate II (Former Employee) - Houston, TX - September 10, 2020","El trabajo parece fácil , pero llega hacer monótono todo s los dias laborales son exactamente iguales, llega hacer muy monótono.",,
5.0,Productive fun work place enviorment,"Film Editor and movie Producer (Current Employee) - Houston, TX - September 8, 2020",I love my job here its so much fun and everyone is so nice and talented everyone helps out amd communicates very well. Over all i love my job.There are lovely people to work with all the time.,,
5.0,Empresa excelente,"Marketing Web Analytics (Former Employee) - São Paulo, SP - August 3, 2020",Nada a reclamar somente agradecer pela oportunidade. Empresa muito boa para se trabalhar.,,
1.0,The worst company culture I’ve ever experienced,"Customer Service Representative (Former Employee) - Salt Lake City, UT - July 24, 2020","If you have any anxiety or need for accommodation, do not work here. Managers only care about their numbers and they will fire you without chance of improvement",,
5.0,Great atmosphere,"Customer Service Representative (Former Employee) - Salt Lake City, UT - July 20, 2020",Good company environment to those in the geekdom fans. You will find a group you can belong to. The hours were set but you could change them if needed.,,
