,Rating,Title,Pro,Con,Job Title,Status,Region,Date
283,4.0,Great Leadership with CEO,Current CEO has the vision to drive technology inclusion and development,Nothing i can think of,Vice President,Current Employee,Singapore,"Apr 13, 2022"
284,4.0,DBS Middle Client_Credit Analyst,"Work life balance, friendly working environment.",Less bonus with frequent re-org.,Credit Analyst,Former Employee,Taipei,"Apr 19, 2022"
285,5.0,Great environment,Friendly atmosphere and internal mobility is always possible,Remote working has indirectly extended working hours,Associate,Current Employee,,"Apr 14, 2022"
286,5.0,good,it is a good working experience,it is a good working location,Officer,Current Employe,,"Apr 19, 2022"
287,5.0,Working in branch banking as Relationship Manager,Great place to work and really helpful teammates. Nice management!,Long hours and required to work on weekends.,Relationship Manager,Former Employee,Singapore,"Apr 1, 2022"
288,5.0,Good place to work.,"Transparent Environment, Supportive Management, Good place to learn and development,",I didn't find any cons so far.,Assistant Vice President,Current Employee,Hyderābād,"Apr 8, 2022"
289,4.0,Pros and Cons,"Stability 
Good stepping stone and training ground","Very overworked 
Everyone is swarmed",Corporate Relationship Manager,Current Employee,Singapore,"Apr 17, 2022"
290,4.0,Internship,Supervisors generally nice and approachable,Supervisors are always busy so not much mentorship going on,Intern,Current Employee,Singapore,"Mar 22, 2022"
291,4.0,Good work culture,"Nothing as prons, its good company to work. bonus is not part of your salary",No WFH option available in DBS,Senior Associate,Former Employee,Hyderābād,"Mar 8, 2022"
292,4.0,Progressive Company,Lots of company benefits and welfare,Long working hours including weekends,Anonymous Employee,Former Employee,,"Mar 26, 2022"
293,3.0,Review,"Flexible working style, encourage employees to keep learning and grow","Lack of work life balance, poor internal systems",Vice President,Current Employee,,"Jun 13, 2022"
294,4.0,N.a.,It depends on ur department.,Still figuring out its structure,Anonymous Employee,Current Employe,,"Mar 29, 2022"
295,3.0,Good company and leadership,"Great ceo, progressive company too","Some toxic bosses, high turnover in certain departments, salary is not as competitive",Senior Associate,Former Employee,Singapore,"Jun 8, 2022"
296,5.0,Great Place to Work,"Internal career mobility
Focus on Wellbeing of employees
Bouquet of Benefits",Decision making could be faster,Vice President,Current Employee,Mumbai,"Mar 15, 2022"
297,5.0,Good place to work,"Employee friendly culture, good compensation",Slow adaptation of new technology,Anonymous Employee,Current Employee,,"Mar 21, 2022"
298,5.0,NA,WFH as a new normal,too much workload and no headcount,AVP-Analyst,Current Employee,Hong Kong,"Mar 24, 2022"
299,4.0,Software Engineer,They have decent salary and bonuses,Lack of work life balance,Software Engineer,Current Employee,Singapore,"Mar 25, 2022"
300,5.0,Nice place to retire,"Good benefits
Flexible working hours (really dependent on team and boss)
Share ownership scheme
Good learning opportunities
Easy to apply for internal mobility","Some depts have shady promotion criteria
Gotta play the game to progress, unless your boss fights for you
Some depts have old staff who are resistant to change",Anonymous Employee,Current Employee,Singapore,"Feb 17, 2022"
301,4.0,Good remuneration,Good remuneration and benefits. Opportunities for job rotation.,Very few cons worth mentioning.,Senior Vice President Product,Former Employee,,"Apr 12, 2022"
302,3.0,Dbs,Good work life balance in the bank,new initiatives can be slow moving and hierarchical,Anonymous Employee,Current Employe,,"Apr 13, 2022"
303,5.0,A high-calibre organisation where self-driven individuals thrive,Great experience to be part of an award-winning bank and striving alongside highly-driven and capable colleagues; Great learning opportunities,Fast paced; high standards; competitive,Anonymous Employee,Current Employee,,"Mar 9, 2022"
304,5.0,Great Team,"Great team culture, although varies from team to team",Sales pressure and difficult to progress,WPM,Former Employe,,"Apr 7, 2022"
305,5.0,Good workplace,Visionary leadership with strong momentum for positive change,Nil for dbs as its a great company,Anonymous Employee,Current Employe,,"Apr 5, 2022"
306,1.0,Zero work life balance,high salary but salary is not everything,"1) While I am joining I was surprised about Salary which they are paying, after joining I felt so bad for why I haven't asked more
2) Manages Feel like they hired us for 12 hrs. of working hours, so please don't ask me about Work life balance
3) They don't give any accesses for UAT or QA and in DEV you wont get data to test your code but task should be completed it in 1 or 2 days max, asking stable environment is a big crime
4) Managers will not discuss about your future aspirations and asked my manager about my interested working area, he told why should I care about emerging technologies out side DBS, if you want you can try outside and free to leave the company. I am so happy for his concern because it triggers me to searching outside job and got my aspirated role
5) Can some one suggest me that how we can improve spark app performance, with out seeing spark application URL and logs, but here it happens
6) They work for Stand up meeting status, not for application completeness
7) Don't ask about business logic to Singapore BA's, they will escalate you on this because Developer should tell the business logic to BA and Business people
8) I had many bad experiences please pardon me for not posting",Data Engineer,Former Employee,Hyderābād,"Mar 1, 2021"
307,5.0,Good,"Good culture, promising career development","heavy workload, need to OT",Anonymous Employee,Current Employee,,"Apr 15, 2022"
308,4.0,RM,Flexible hybrid work arrangement allowing you to work from home and office,Low annual increment even on promotion year,Senior Associate,Former Employe,,"Apr 3, 2022"
309,5.0,Well Run,Professional organisation that treats its employees fairly,not everybody is operating at the same level of motivation or effectiveness,Trader,Current Employee,Singapore,"Mar 23, 2022"
310,5.0,One of the Best Banks to work for Learning Opportunities and Career Progression,"1. Provides equal opportunity for career development and progression to all deserving employees 
2. Forward looking bank in terms of technological support infrastructure and digital adoption
3. Provides ample scope for enriched learning and personal developmental for the right candidates
4. Promotes good work culture, good work life balance and a healthy environment of psychological safety for all employees 
5. Various employee friendly internal HR policies and practices",Nothing specific to DBS - a career in the financial services industry comes with its own set of challenges and operational hazards to deal with,Assistant Vice President,Current Employee,Calcutta,"Sep 14, 2021"
311,4.0,"Wealth Planning Manager, Insurance Specialist","Great company benefits
Great commission structure
Good career path",Long hours needed to achieve your goal,Wealth Planning Manager,Former Employee,Singapore,"Apr 5, 2022"
312,4.0,Overall a great place,Good culture. Work life balance is pretty good. Env is not toxic. Decent staff benefits.,Modest bonuses and poor yearly increment that barely covers inflation for support units.,IT Project Manager,Current Employee,Singapore,"Mar 15, 2022"
313,4.0,.,Great culture and team head are encouraging,Sale focus and strict discipline needed,Wealth Planner,Current Employee,,"Apr 11, 2022"
314,5.0,Good Team Culture,There is always someone to guide you,sometimes unrealistic targets set by higher management,WPM,Current Employee,Singapore,"Apr 5, 2022"
315,5.0,Best Bank in the World,Shares company profits with employees,Cannot think of any thing.,Senior Associate,Current Employee,Singapore,"Apr 8, 2022"
316,5.0,Great company,"Senior leaders are willing to share strategic directions of company openly and willing to take feedbacks from employees

Ample growth opportunities

Supportive line managers and collabrotive colleagues",Many technology initiatives and might be confusing at times before stabilization,Analyst,Current Employe,Singapore,"Mar 2, 2022"
317,1.0,Bad company,no thing to say about pros,"very bad, website is down everytime
UI/UX is super bad",Software Engineer,Current Employee,,"May 21, 2022"
318,5.0,Best Employer,"Always put employees as 1st priority, great leadership and good learning ground",competitive working environment especially for more seniors staff,Senior Associate,Current Employee,Singapore,"Mar 28, 2022"
319,3.0,"Culture of Deceit, Concealment & Pressure for Numbers",Staff Benefit is really good,"Toxic Culture
Washing Machine, there is a reason why they are hiring so much
Do things by the books, yet not by the books
If you speak up, you get pinned down",Associate Wealth Manager,Former Employee,,"Feb 21, 2022"
320,5.0,Good Employee Privilege,"DBS has the best employee privilege and best environment.

DBS provides diverse learning, growth & exposure opportunities",Nil so far. Generally good,Customer Service Officer,Current Employee,,"Feb 27, 2022"
321,4.0,Interview,Good bosses and digitalisation efforts,Pay might not be high,Senior Associate,Former Employee,Singapore,"Mar 22, 2022"
322,4.0,Good but a bit work overload,"Benefits, Freedom to work, projects,fun","Less Recognitions.
Need to ice manager to get appreciations.
Ratings are given by unit manager.
Less pay.",Associate,Former Employee,,"Feb 17, 2022"
323,3.0,Stressful,"- Competitive salary 
- Good teammates",Very high volume of calls,Customer Service Officer,Current Employe,,"Jun 17, 2022"
324,5.0,would be 1 of the career stop,"good pay, good benefit to staff",so many Pressure on work,Senior Associate,Current Employee,Hong Kong,"Mar 9, 2022"
325,5.0,"To serve a purpose and help people, boost the company’s Economy","Very understanding and a lot of benefits such as medical covers dependent too.
Off days on schedule basis
I’m good at sales of insurance",Serving customer can be quite taxing for me,Banking,Current Employe,Singapore,"Jan 9, 2022"
326,3.0,Superiors do not care about your well-being,Able to learn quite abit,"If you are pursuing any further learning, please do not consider DBS as they will acknowledge it but do not do anything except make you work relentlessly.",Business Analyst,Current Employee,"Bedok New Town, ","May 4, 2022"
327,3.0,Fair job,"WFH rotation
Contractor no need to work in WFH session due to no access","Bad environment 
Need to handle FO and BO stuff
Low salary",Customer Service Representative,Former Employee,Hong Kong,"May 28, 2022"
328,5.0,Good company,"good system
good culture
manager is good","salary too low
lack of career advancement",Relationship Manager,Current Employe,Singapore,"Mar 14, 2022"
329,4.0,Fantastic Company to better your career,"Excellent infrastructure and exposure to game changing technologies
Flexible working model
Reasonable monetary benefits",Nothing to recall at this juncture and will update in the next few months,Vice President,Current Employe,,"Feb 15, 2022"
330,4.0,Good family culture,Work life balance and good colleagues,Lower pay and no very good bonuses,Vice President,Former Employee,Singapore,"Mar 12, 2022"
331,4.0,Salary,"fairly decent bank, Sophisticated in terms digital-related matters.","not a good pay master, a lot of bureaucracy.",Senior Relationship Manager,Former Employee,,"Mar 4, 2022"
332,4.0,Support,Technical Support Operation in DBS in SG,Operation in DBS in SG Technical Support,Technical Support,Current Employe,,"Mar 14, 2022"
333,4.0,Employee oriented organisation,"Co-operative and open environment.
Frequent Interaction with managers.",No cons experienced till now.,Financial Analyst,Current Employee,Mumbai,"Feb 17, 2022"
334,4.0,one of the best plae to work,"Employee benefits
Learning Curve
Work from home
Felxible timing
Fun activities","Less Hikes, Bonus
Less Employee Growth
Less Recognition
Otherwise everything is fine.",Quality Assurance Engineer,Current Employee,Hyderābād,"Feb 28, 2022"
335,4.0,Join,Good pay good culture good peers,long hours slow progression toxic customers,Wealth Planning Manager,Former Employee,Singapore,"Mar 7, 2022"
336,4.0,Good,Good employee benefits provided by the bank,Long working hours to work this,Wealth Planning Manager,Current Employe,"Tampines New Town, ","Mar 14, 2022"
337,3.0,Review,Good working culture in the organization,Package not good at AVP level,Assistant Vice President,Current Employe,Mumbai,"Jun 11, 2022"
338,3.0,.,Stable ok less politics nice,"Low paid, slow growth, tech suppport poor",Audit Senior Associate,Current Employee,,"Jun 12, 2022"
339,5.0,Working in DBS,"Friendly and helpful people
Positive work environment
Good welfare and benefits
Fair compensation and opportunity
Work life balance",Nothing that I can think of,Cloud Engineer,Current Employee,,"Feb 17, 2022"
340,3.0,No Much Project scope other than Java,"benefits, timings, cab, rewards, flexi benefits","Hike, work like balance, tech stack, long hours",Analyst,Current Employe,Hyderābād,"Nov 17, 2021"
341,5.0,Benefits,Salary was good out of graduation. Structured with trainings,Hard to move to other positions without being good at current position of sales.,Personal Banker,Current Employee,Singapore,"Nov 7, 2021"
342,4.0,Na,Good staff benefits and stable job,No comment on the employer,Relationship Manager,Current Employe,Singapore,"Nov 30, 2021"
343,4.0,Review,- Reputable Company to start a career in.,- Competitiveness of job can be quite draining,Wealth Planning Manager,Current Employee,,"Nov 21, 2021"
344,4.0,So so,It is a good choice for people want have work-life balance.,Work life balance good working hours,Associate,Current Employee,Central,"Nov 18, 2021"
345,2.0,Not a good place to work,"Though there are some good teams still there in DBS, my team was the worst. However, for a tech enthu, if you got the opportunity, you would probably explore many new technologies.","In many places, it is due to the management, people leave. Same goes here. 
1. Singapore contractors drive most of the projects. No control from India.
2. Even if team delivers some of the big projects, Singapore leads and manager, would never leave an appreciation mail.
3. No project grooming for the developers on the new projects, but will just send the BRD documents. And you have to chase the BA on what you have to do. Why dont they think that it helps to have all the developers on the grooming sessions, so they dont have conduct separate such sessions.
4. Project deliveries are always in rush.",Senior Associate Developer,Former Employee,Hyderābād,"Jan 12, 2021"
346,5.0,Good,Good manager and colleagues willing to help,Long working hours especially in IBD,Intern,Current Employe,Singapore,"Nov 24, 2021"
347,5.0,Best workplace for passionate ones,"Focus on innovation.
Various opportunities to explore your passion.
Best technology and tools 
Top management focus on employees benefits .
Work as family who takes care of each other.",Not place for lazy ones who lacks passion and cannot put effort to achieve ambition.,SVP-Technology,Current Employee,Hyderābād,"Aug 20, 2021"
348,4.0,Great place for work,"Good working culture, start-up feel, and good employee appreciation, great colleague",Sometimes too much bureaucracy. The rest is okay,Analyst,Current Employee,Jakarta,"Nov 9, 2021"
349,5.0,Best bank to work with,Best bank to work with,every job has its own pros and cons,Data%2FBusiness Intelligence Analyst,Current Employe,Pune,"Nov 15, 2021"
350,5.0,"Good focus on work-life balance, reasonable bosses with a strong foucs on productivity and results","Little politics and infighting, good focus on cranking out results and working together. Good opportunities for personal growth too!",No chance of a fully technical track for those with no interest in higher management,Software Developer,Current Employee,Singapore,"Sep 19, 2021"
351,4.0,Good,Good and friendly working enviornment,Salary adjustment is not good enough,Business Analyst,Former Employee,,"Nov 26, 2021"
352,2.0,DBS = micromanagement,Nothing to highlight about this place,"One of the worst place I ever work. No idea on how to develop software, poor quality on the development, a lot of pressure and micro management.
People don't know how to do their job and are more interested on what the other are doing.",Project Manager/Scrum Master,Current Employee,,"Sep 13, 2021"
353,5.0,"Friendly people, culture of continuous learning with plenty of opportunities to learn","- Colleagues are friendly across various departments
- Deal flow is good due to the organisation being a local bank
- Learning opportunities aplenty
- Management cognisant of employee welfare","- Big organisation; things might move slowly on certain matters
- Small fish big pond problems",Credit Analyst,Current Employee,Singapore,"Sep 7, 2021"
354,5.0,Good remuneration,"Good money for fresh grad, flexible hrs","Demands, stress from sales target",Wealth Planning Manager,Former Employee,,"Nov 20, 2021"
355,5.0,Account,Account job on banking and finance,financial best service on public business,Anonymous Employee,Current Employe,,"Nov 16, 2021"
356,5.0,DBS good working environment,Every thing is fun here.,"Nothing much.
For me every thing was smooth so far.",Senior Database Administrator,Current Employee,Singapore,"Nov 11, 2021"
357,2.0,Work Hard - Dont work Smart,"- Get to meet some really great people and make friends for life
- Get to work on a product that you use","- You're judged based on how late you work. Efficiency does not matter.
- Sending emails is more important in career growth than doing the actual work. 
- Claims as ""Tech"" company and ""Startup"", but in reality, it's far from that. None of the senior management has ever worked in a tech company or a startup so the culture and mindset are still 5 to 10 years behind any tech company.
- Way too many people than needed.","Senior Associate, Technology",Current Employee,Singapore,"Mar 14, 2021"
358,2.0,Job Experience,Very competitive package and benefits,"Lack of team work, non-cohesive culture, poor leadership",Associate,Current Employee,,"Oct 21, 2021"
359,4.0,Great place to work fast pace,Great leadership with growth potential focus on internal talent.,Work load can get very heavy and fast paced,Assistant Vice President,Current Employee,Singapore,"Oct 31, 2021"
360,1.0,Worst Bank ever in my work life,Staff appreciation program which allows staff to exchange cash voucher,"People are generally unfriendly and good at pushing their works to others
No guidance and training at all",Specialist,Former Employee,Hong Kong,"Dec 8, 2021"
361,5.0,Good company to work with,"- Competitive pay with good side benefits 
- Internal mobility between departments every 2 years
- Good working environment with good boss
- I got nothing else to share
- Good learning place for RMs",-Nothing too bad about it.-Nothing too bad about it.-Nothing too bad about it.-Nothing too bad about it.-Nothing too bad about it.-Nothing too bad about it.,Relationship Manager,Current Employe,Singapore,"Aug 18, 2021"
362,4.0,A place that rewards hardwork,"You will be Recognized for hardwork. If you do your bit and work as a team player.
A lot of opportunities due to size of bank
Reasonable pay compared to other banks",There were quite a lot of turn overs when I was working there. You really had to work hard and sometimes there can be quite a bit of over time.,Product Controller,Former Employee,,"Aug 14, 2021"
363,5.0,Good Org to work,"I was deployed in Hyderabad based DBS (DAH2) as SM/Project Manager frim HCL. My observations are in below-

- Good organization culture.
- Ffriendly environment in all 
- No difference between perm resource and vendor resource.
- Good office infrastructure too.
- Sr management is accesible and open to accept suggestions and feedback.
- Rewards and recognitions also awarded to vendor resourced.
- I have seen Employ Satisfaction here.
- Agile based Org.

I have seen all good and a nice organization to hang for long term.",No cons I have seen so-far.,Project Manager/Scrum Master,Former Employee,Hyderābād,"Jun 14, 2021"
364,5.0,Great company,"Great and nocecompany. 
Joyful space.",Nope. All good. Great company.,Assistance Vice President,Former Employee,,"Nov 18, 2021"
365,5.0,Great place to work,"Collaborating with others is easy, everyone is motivated to work towards the same goals and there is hardly any politics","From time to time, you would have to commit to longer working hours in order to meet deadlines as things move really quickly in the bank. And your day would be full of meetings",Anonymous Employee,Current Employee,Singapore,"Aug 15, 2021"
366,4.0,Great place to work,Tons of internal mobility opportunities,Too many administrative tasks in addition to daily BAU activities,AVP-Operations,Current Employe,,"Nov 1, 2021"
367,5.0,Great company,Great place to learn new things,no negative experience so far,Software Engineer,Former Employe,Hyderābād,"Nov 15, 2021"
368,4.0,very generous employer,"benefits, bonus, constant ways of improvement and innovation","steep targets, demanding work load",Associate,Current Employee,Singapore,"Nov 11, 2021"
369,4.0,A Good Company,"good benefit package
Vast e-learning module
internal mobility","Salary in middle median
Health insurance is mediocre",Custodian Compliance Officer,Current Employee,Indo,"Nov 12, 2021"
370,5.0,Local Bank,Good local bank with stability.,Salary on the low side.,Assistant Relationship Manager,Current Employe,Singapore,"Oct 18, 2021"
371,5.0,RM role at DBS,Strong IT infrastructure. Large customer base. Attractive incentive scheme and package. Colleagues are friendly and overall culture is nice.,Very stringent and rigid in terms of promotion. High turnover rate and managers do not do much to retain talent within the organisation.,Wealth Planning Manager,Current Employee,,"Aug 5, 2021"
372,3.0,My perspective on dbs,"Vast knowledge gain, nice team culture",No work life balance and less hikes for C2E dept specifically,Analyst,Current Employee,Hyderābād,"Jan 18, 2022"
373,3.0,Good,"Good perks and bonus
Free Transport","Work life balance
Senior micro management
Nothing much",Analyst,Former Employee,Hyderābād,"Feb 1, 2022"
374,5.0,Great culture and managers,"- Managers have been very nurturing
- Company respects work life balance
- Decent compensation
- Always something exciting going on
- Great leadership","- Fast paced work environment might be difficult to adapt to
- Some legacy issues with internal platforms
- Adhoc tasks sometimes overwhelming",Graduate Associate Program,Current Employee,Singapore,"Aug 17, 2021"
375,3.0,Low market rate,Low market rate salary but employees benefits ok,"Free style, work woth Singapore colleages and helpful HR",Anonymous Employee,Former Employe,,"Jan 20, 2022"
376,5.0,Great place to work in,"- Capable people working in their roles
- Things move fast
- People are willing to help when you need it","- Need to embrace the notion of Work-life integration rather than work-life balance
- Need to be contactable even if you are on leave",Anonymous Employee,Current Employee,Singapore,"Aug 11, 2021"
377,5.0,Good company,"Cohesive, nice people, great environment",none that i can think of,Credit Risk Analyst,Former Employe,Singapore,"Oct 14, 2021"
378,4.0,Generally good company,"great staff benefits and colleagues,",job scope not to my liking,Wealth Planning Manager,Current Employe,Singapore,"Oct 14, 2021"
379,3.0,Snr Asso -  not so satisfied,Work-life balance; Good working hours,Less opportunities for internal talents,Senior Associate,Current Employee,Hong Kong,"Jan 23, 2022"
380,2.0,Opportunities,Opportunities in various business units.,Multi level hierarchy difficult to channel ideas and opnions.,Business Analyst,Current Employee,Singapore,"Oct 25, 2021"
381,5.0,Good Culture,"1. Good Culture
2. Nice environment",1. pace is too slow,Associate,Current Employe,Taipei,"Nov 12, 2021"
382,3.0,ok,"good people
skills
network
regional exposure but not global
learning
my manager is good","demanding
long hours
rude people
time pressure depending on dept
too many people",Associate,Current Employe,,"Nov 3, 2021"
383,3.0,Best bank in the world. Worst luck to have a toxic manager.,"Strong senior mandate by the CEO to innovate and continuously improve.
Industry leader.
Good staff benefits.","Bullying management style especially at the Executive Director level.
Long, working hours.
Superficial application of agile, customer journeys in the wider organization.",Senior Vice President,Former Employee,Singapore,"Sep 14, 2021"
384,4.0,job comments,good company benefit such as annual leave and extra benefit.,no work life balance during work.,Wealth Planning Manager,Current Employee,,"Sep 29, 2021"
385,5.0,software engineer,Verily good company in the world!,"Sometime is very busy, but still hold the working life balance.",Software Engineer,Current Employe,,"Oct 30, 2021"
386,4.0,Corporate action,Plenty of leave days and preferential interest rates,"No progression, manual handlings and lots of enhancements to be done",Analyst,Current Employee,,"Oct 29, 2021"
387,3.0,"""Live less, Bank More"" is ""FAKE""","1. People are very friendly and willing to talk, good culture
2. Salary is satisfactory and have promotion path
3. Compensation package and benefits are fine and well-preparedly structured 
4. Live more, Bank Less is the attractively fake things.
5. Have many leaves other than AL.
6. Willing to listen.","1. Live less, Bank MORE is the cruel fact with no doubt.
2. They focus on the work life balance, but no work life balance. 
3.  uneven job allocation, i.e. unlimited workload vs limited resource 
4. Smooth less, struggle MORE.
5. You have many leaves but you don't have time to leave.
6. Willing to listen, but fairly failed to implement.",Associate,Current Employee,Hong Kong,"May 7, 2021"
388,3.0,good company,supportive colleagues and bosses. family culture,"high transactional volume, no work life balance, management tends to show favouritism",Analyst,Current Employee,,"Oct 27, 2021"
389,3.0,Good boss,The boss is forward thinking,Long working hours with little time for rest,Business Analyst,Former Employe,Singapore,"Nov 9, 2021"
390,4.0,Business Analyst,"good hours, nice working environment",not the best place for progression,Business Analyst,Current Employe,Singapore,"Oct 12, 2021"
391,4.0,IBG,Stable job as the company does not have a firing culture. Nurturing environment where there are a lot of training and development opportunities.,Bad work life balance. Many deadwood in the bank given the lack of a firing culture especially further up the ladder.,AVP-Sales,Current Employee,Singapore,"Aug 12, 2021"
392,4.0,PM in DBS Taiwan,the salary is not bad in Taiwan. welfare is not bad as well. the workload is better than most of the foreign bank,very conservative for the product development and bad strategy of implementing the new product. small reputation in the Taiwan market.,Product Manager,Current Employee,Taipei,"Aug 8, 2021"
393,3.0,So far ok,"good benefits, flexible working style","Pay is low, not much culture",Graduate Program,Current Employee,"Changi Village, ","Jan 24, 2022"
394,4.0,Overall review,"Love the welfare here 
Internal mobility opportunities available",Pay is not as attractive compared to other banks,Anonymous Employee,Current Employe,,"Sep 30, 2021"
395,5.0,Good staff benefit,"Good staff benefits.
Overall, good working culture",Long working hours and slow career progression for junior staff,Analyst,Former Employee,Singapore,"Sep 28, 2021"
396,5.0,Great People,The people at dbs are friendly and encouraging,there may be some that may struggle to perform,Software Engineer,Current Employe,,"Sep 28, 2021"
397,1.0,FULL OF POLITICIANS,"very bad company, lots of selfish employee especially those senior and high level manager rank from VP and above. Please do not join IBGT, full of retards.",bad working environment but make a very good packaging,Programmer,Current Employee,Singapore,"Jan 13, 2022"
398,5.0,Excellent place to Work,Good work like balamce..health and medical benign and enough leaves,All good dont see anything bad,Assistant Vice President,Current Employee,,"Sep 26, 2021"
399,1.0,Like selling your soul,Nothing good to say about the bosses,Worst career move. Bosses only concerned about targets. No concern for the client's.,Relationship Manager,Former Employee,,"Feb 28, 2022"
400,4.0,Learning opportunity,Modern stack is used for different projects. So a lot of learning opportunity is present.,Not Applicable as per current setup,Anonymous Employee,Current Employee,,"Sep 22, 2021"
401,4.0,overall  rating,good management with a lot of idea's,too many meeting with office politics,Executive Director,Former Employe,,"Oct 5, 2021"
402,4.0,Cso,Good pay good benefits good colleagues,No work life balance at all and stressful,Customer Service Officer,Current Employee,"Jurong East New Town, ","Sep 20, 2021"
403,1.0,Worst Company I have ever worked,Good flexible working hours policy,"Bad Culture, Bad people and heavy workload, which contribute to high staff turnover rate",Associate,Former Employee,Hong Kong,"Feb 18, 2022"
404,5.0,Great,Good work environment and team culture,Not much structured progression for many,DBS,Former Employe,Singapore,"Oct 8, 2021"
405,4.0,Greate place to work,"Good opportunity to learn,  great hr policies",Poor management. All good managers moved out. May be because of Singapore management.,Senior Associate,Current Employe,,"Sep 15, 2021"
406,4.0,Not Bad,High commission and relatively relax,entire company is classes concept,Business Development Executive,Former Employee,,"Oct 12, 2021"
407,3.0,DBS,"Women safety
Good compensation
Technically advanced
Knowledge improvement
Compensation allowance","Hectic at times
Working on holidays",Officer,Current Employe,Chennai,"Jan 25, 2022"
408,3.0,Trade,Staff benefits and Leave benefits,Limited opportunity for career progression,Analyst,Current Employee,,"Jan 26, 2022"
409,3.0,Better than joining FA imo,"- pretty decent compensation package
- employee welfare is quite commendable","- depends on branch but i'm slightly overworked in mine.
- very individualistic culture, don't expect to be taught the ropes. 
- prepare to be micro managed",WPM,Current Employee,,"Dec 6, 2021"
