,pros,cons,rating_number
10,"- super smart people, the best of the best from schools
- if you get hired here, you will be hirable anywhere, recruiting process is tough
- the pay is above average, probably 1.5 times elsewhere (but the expected results are 150% of elsewhere too)
- lots of opportunities to work on new, innovative projects
- cool SLU campus, lots of options for food and drinks after work","- frugality is taken to the extreme, only 2 weeks vacation, parking takes a year or more to get, zero perks (not even free Prime), no fitness allowance, poor 401k
- your peers will stab you in the back, your manager will blame you for their errors, you can't trust anyone
- people who throw others under the bus and take credit for other people's work get promoted
- expectations 60 -70 hours a week, some teams expect Sunday to be an ""in the office day"", headcount never gets filled, teams are always short a few people but the work keeps piling on.",4.0
11,"Real-world impact: As an Applied Scientist, you'll be working on solving real-world problems and developing solutions that have practical applications, which can be rewarding and fulfilling. Interdisciplinary work: Applied Scientists often work across different fields, such as engineering, computer science, biology, or chemistry, allowing you to learn new skills and broaden your knowledge. Varied tasks: Applied Scientists may have diverse tasks, ranging from designing and conducting experiments to analyzing data, writing code, or presenting research findings, which can keep the work interesting and challenging. Collaboration: Applied Scientists often collaborate with other scientists, engineers, product managers, or stakeholders in the industry, which can foster teamwork and communication skills. Career growth: Applied Scientists are in high demand in many industries, and the job outlook for this field is promising, providing opportunities for career growth and advancement.","Pressure to deliver results: Applied Scientists are often tasked with delivering results under tight deadlines and high expectations, which can be stressful and demanding. Ambiguity: Applied Scientists may encounter ambiguity in the problem definition or data interpretation, requiring them to make assumptions and trade-offs that can affect the results. Technical skills required: Applied Scientists need to have a strong foundation in technical skills, such as statistics, programming, or experimental design, which may require significant time and effort to acquire. Limited creativity: Applied Scientists may face constraints in the problem-solving process, such as budget or time limitations, which may limit their creativity and innovative ideas. Competitive market: Applied Scientists are in high demand, but the competition for jobs in this field can be intense, requiring a high level of qualifications and experience.",5.0
12,Was a stable job and had some liberty to solve many problems with the maintenance and safety guys. Free snacks once and a while. No need to have to talk much to anybody during shift and could focus on what's best task priority for the good of the employees/company safety and performance. The big Pro at Amazon was that after having a work sprint from a few minutes to hours depending the situation I was able to have a few minutes to recover. Simple thing make a huge difference in working conditions....unlike other Amazon workers working non-stop.,The communication between managers and our team was 3 to 5 days delayed and lead to aggravation and big foot decision interfering with our work even if safety could be at risk. That tells a lot about the station manager and his lieutenant background about their competences to manage their team and truck drivers safely and fairly. Doing a speech at the begining of a shift but taking wrong decision to terminate an employee don't make a manager competent or help the company at all !,3.0
13,You honestly can't beat there pros They provide tuition after 90 Days PTO and VTO can be acquired after your first week. There dress codes is to dress comfortably. They have an easy to use A to Z app which is great. It still has issues and one is a major con from my experience.,"Cons For one you must stay working at all times and minimize bathroom trips. Best way to maintain your production and achieve the fastest time is by waiting till break and never stop stowing The biggest Con for me was during my time of employment I was dealing with depression and mental health problems due to losing one of the greatest friends/mentor, my sister who left behind a beautiful daughter. Sense this was the most traumatic thing that's could possibly happen I took a medical leave for a mental health program at Bradford. Well after completing the course I uploaded my documents to return to work. And the ERC Kept requesting more info and my doctor wouldn't allow it says that's all the information they need so after 4 months of being off the schedule I finally got erc to accept it but then my a to z app never put me back on the schedule. Which obviously has nothing to do with me but they insisted that I missed over 30 days of work and said I must either resign or get fired",3.0
14,"You can really bond with the associates You are delivering smiles There is overall good policies within the company As a manager, you can make work enjoyable for your associates There is a decent amount of growth opportunities","It burns you out daily It literally feels like working in a sweatshop Termination and turnover rate is insanely high You get delegated work a lot by your superiors You run the entire operation while your superiors delegate everything to you They reward associates but not managers Manager retention is low No option to selecting what shift you are assigned too No positive recognition or reinforcement Some sites are much more better managed then others (I worked at 4 sites, and some were tremendously more organized then others. This specific site I worked at had too much favoritism that is was unsatisfactory).",3.0
15,"Amazon offers some decent benefits. Continuing classes, medical, vacation time and different types of unpaid leave for life circumstances.",Bias- Harassment- Sexist- Mildly racist-,1.0
16,"Interesting, cutting edge work; abilities to travel globally; great pay before stock prices dipped","Most toxic work environment I have ever experienced. Due to the stack ranking system where a percentage of each team must be given a ""least effective"" rating, directors throw one another under the bus to try and keep their team off the LE list. With the massive growth, people are treated like cogs in a wheel, with little interaction from upper management. Now with the economic slowdown, the work environment has become even more toxic. Many of us feel that our leadership is trying to create more attrition in order to avoid yet another layoff. The main incentive to stay here and put up with this abuse (money) is now gone. The stock prices have tanked, and leadership is doing nothing to make up the difference, even though most of our compensation is in RSUs.",2.0
17,"Great benefits for you and your family. If you stay for more than a year you get extra benefits like maternity leave, pay raise, etc. Coworkers are AMAZING!! Can come across great managers and HR.","Too much confusion with who-knows-what when it comes to certain questions for HR or managers. Too much headache when dealing with HR that sometimes doesn't know how to properly give a solution to a real problem you may have. You often have to know the right people to actually get results, otherwise you go in circles. They will ask you to do a lot for them without benefit of recognition or reward. Some other buildings often give incentives like free food, fun activities for certain holidays, etc, while others do not. Their motto is ""work hard, have fun, make history"" but they might as well take the ""have fun"" out of it.",3.0
18,"Good health insurance, good culture",If you promote they will exploit you by paying you as little as possible while pretending like they’re doing you a favor. If you promo from hourly non-tech to to salaried tech you will be forced to take a salary non-tech role for 3-12+ months while you wait for them to give you proper title. You’ll make the same pay as you did while L3 even though you’re operating as L4-L5 engineer which pays on average 2-3x more. If you’re like me you’ll also have a series of managers lie to you and/or string you along while they focus on their own promotion and using you to make themselves look good. Some of them promo and immediately rotate into other parts of the company never to be seen again while you’re stuck living paycheck to paycheck… even though your teammates who you helped train make 2-3x more than you.,3.0
19,-LPs are widely used and employees stay true to them -majority are like minded people that believe in making a change,"-bureaucratic structure - terrible comp for existing/tenured employees unless you're L7+/ in Tech role Been at amazon for 3 years, started as an accountant. I found out how much my peer makes and it was 30% of my TC. They had no prior experience, just a MBA degree from a good collage. It's been 9 months and she's still 'ramping up'. I moved through amazon's 'ranks' only to be paid peanuts compared to those hired during the covid boom. My RSUs were a good contributor to my TC but now with the stock at sub $97, I'm working at a loss. I've been a HV3 (one away from Top Tier) for 2 years and comp is embarassing compared to newly hired employees while I manager 2x their responsibilities.",4.0
20,"Amazon offers some decent benefits. Continuing classes, medical, vacation time and different types of unpaid leave for life circumstances.",Bias- Harassment- Sexist- Mildly racist-,1.0
21,"Amazon is full of intensely smart and driven individuals who are constantly pushing the bounds of their roles and organizations. There are a lot of opportunities to stretch your skills and grow. Once you are in, all you need to do is go after those opportunities.","Getting support can be a challenge. As a new mom, I didn't feel comfortable sharing with my manager how postpartum was a real struggle for me and I was never asked. This caused a few bumps in the road when I returned which I needed to find creative ways to address myself without talking about it with my manager. I thankfully have a great support system outside of work and the few people at Amazon that I shared with were great supports as well.",4.0
22,"Amazing benefits with the best health plan I've ever had at an affordable price. Set schedule with plenty of VET and VTO throughout the year. 48 hours PTO a year. While this job isn't for everyone, some of us love working there and thrive in a fast paced environment.","You are expected to work hard, at a fast pace with high quality. If you run out of UPT you lose your job but UPT accrues daily so if you save it up you should be ok. Managers are moved constantly so you usually won't have the same manager for very long which can be good or bad.",4.0
23,"vibrant, fast paced culture
- smart, fun, aggressive colleagues
- management is focused on latest tech trends and staying or becoming a leader for many of them
- by and large, customers and partners are very positive about the technology
- good benefits and perqs","Worse still is the politics. When you hire a bunch of smart, aggressive people, and put them in an environment of outsized expectations, throw in a bunch of re-orgs and changing management, and sprinkle with uncertainty and constantly changing priorities, you inevitably get people back stabbing each other and throwing others under the bus to appear smarter and more worthy of promotion.",5.0
24,"Interesting, cutting edge work; abilities to travel globally; great pay before stock prices dipped","Most toxic work environment I have ever experienced. Due to the stack ranking system where a percentage of each team must be given a ""least effective"" rating, directors throw one another under the bus to try and keep their team off the LE list. With the massive growth, people are treated like cogs in a wheel, with little interaction from upper management. Now with the economic slowdown, the work environment has become even more toxic. Many of us feel that our leadership is trying to create more attrition in order to avoid yet another layoff. The main incentive to stay here and put up with this abuse (money) is now gone. The stock prices have tanked, and leadership is doing nothing to make up the difference, even though most of our compensation is in RSUs.",2.0
25,"Great benefits for you and your family. If you stay for more than a year you get extra benefits like maternity leave, pay raise, etc. Coworkers are AMAZING!! Can come across great managers and HR.","Too much confusion with who-knows-what when it comes to certain questions for HR or managers. Too much headache when dealing with HR that sometimes doesn't know how to properly give a solution to a real problem you may have. You often have to know the right people to actually get results, otherwise you go in circles. They will ask you to do a lot for them without benefit of recognition or reward. Some other buildings often give incentives like free food, fun activities for certain holidays, etc, while others do not. Their motto is ""work hard, have fun, make history"" but they might as well take the ""have fun"" out of it.",3.0
26,"There are definitely more pros vs cons working at Amazon, working for the Ads organization, I can say some of them are: - Self-service culture for everything, allows you to dive deep as much as you need to learn and contribute - Processes even when seem to be totally established, the culture always allows you to build, challenge and improve, always documenting for the future. - Have the ability to collaborate with orgs that are not even part of your scope, it gives an open canvas to create valuable connections. - Remote flexibility, even when hybrid or fully, always makes the difference.","- Even when there is a lot of interaction and connections between orgs, these happens at an individual or small groups level, not necessarily driven by upper management - More organizational flexibility when it comes to PTOs",5.0
27,"Prepare to be busy. It's fast paced, so you'll need to learn the Amazon way quickly or move on. If you're not slammed putting out fires, you'll be busy completing endless continuous improvement projects. You'll learn a lot & you'll have fun doing it. Amazon is huge on professional development & you'll certainly be able to keep your skills sharp.","You'll likely be working 3rd shift & on weekends. People making a career of Amazon is extremely rare. The median tenure with Amazon is less than 4 years. There aren't many advancement opportunities in Loss Prevention unless you can constantly relocate to other states. Amazon will also tell their employees that they value internal promotions over external hires, but their actions & the compensation discrepancies will tell you the actual truth. Lastly, Amazon does not value a ""team"" mentality... They are extremely individual contributor focused. Amazon celebrates those who can easily tell you what ""they"" did, instead of what the team as a whole accomplished. As you can imagine, this can make things in the office less than cohesive, maybe even toxic",4.0
28,"Guaranteed 40 hours per week 3 days off Wonderful benefits - medical, dental, vision, etc. Amazon pays for CDL school, free-of-charge, which costs $8,000 per student Great TEAM atmosphere, especially if you work with a super group of people! Lots of free food, clothes, swag & snacks :P","Only real con is having to do OTR - at least 3 days a week - driver fatigue :( Dangerous! There should be fair job rotation, so that everyone on the Tom Team has to obtain their CDL & drive, not just a few, whilst the others get to almost do nothing in the guard shacks.",4.0
29,"The company culture prides itself on being peculiar. While in principle it does provide a good framework to innovate, the company really just cares about maximizing profits at any cost (including harm to its employees and the planet).","Amazon is an absolutely terrible company that will absolutely treat you as disposable no matter what your work ethic or contributions to the company. The benefits are the worst I've seen in the entire industry. No 401k matching for 3 years, bare minimum company holidays, disingenuous review practices. This place sucks. Full stop. If you're reading this considering whether Amazon is worth it I strongly advise you to consider working for an employer with better ethics and benefits.",2.0
30,"Experience in the field for new HR professionals. 4 day work week and shift options including nights (this could be seen as a pro or a con as someone who was on the front half shift and enjoys nights it worked well for my schedule. However, they make you rotate every 6mos and I did end up on days at one point)","Over worked and undervalued. Company was trying to grow so fast it could not sustain the growth and staffing suffered causing burnout. Non-typical HR work week, HRA's are required to be on site basically all operating hours 6:00am-3:00am shifts are either Sun - Wed AM/PM 10hrs or Wed - Sat AM/PM 10hrs. Rotating shifts every 6 mos. depending on the situation and management you can try to get the shift you want but doesn't always happen. HRA's were consider low level for HR and did not qualify for the hourly benefits of typical associates as L4's but were not salary so did not qualify for the benefits of salary L4's.",3.0
31,"Amazon is full of intensely smart and driven individuals who are constantly pushing the bounds of their roles and organizations. There are a lot of opportunities to stretch your skills and grow. Once you are in, all you need to do is go after those opportunities.","Getting support can be a challenge. As a new mom, I didn't feel comfortable sharing with my manager how postpartum was a real struggle for me and I was never asked. This caused a few bumps in the road when I returned which I needed to find creative ways to address myself without talking about it with my manager. I thankfully have a great support system outside of work and the few people at Amazon that I shared with were great supports as well.",4.0
32,"Amazing benefits with the best health plan I've ever had at an affordable price. Set schedule with plenty of VET and VTO throughout the year. 48 hours PTO a year. While this job isn't for everyone, some of us love working there and thrive in a fast paced environment.","You are expected to work hard, at a fast pace with high quality. If you run out of UPT you lose your job but UPT accrues daily so if you save it up you should be ok. Managers are moved constantly so you usually won't have the same manager for very long which can be good or bad.",4.0
33,"vibrant, fast paced culture
- smart, fun, aggressive colleagues
- management is focused on latest tech trends and staying or becoming a leader for many of them
- by and large, customers and partners are very positive about the technology
- good benefits and perqs","Worse still is the politics. When you hire a bunch of smart, aggressive people, and put them in an environment of outsized expectations, throw in a bunch of re-orgs and changing management, and sprinkle with uncertainty and constantly changing priorities, you inevitably get people back stabbing each other and throwing others under the bus to appear smarter and more worthy of promotion.",5.0
34,* Very Friendly & helpful co-workers. * Weekly Pay * Work is easy and predictable.,"* HR is very fragmented and does not communicate very well. * Job satisfaction and performance is too reliant on internal surveys and sensors. * Witnesses have less importance than the ""sensor gods"". * Company policy goes little overboard on the diversity and inclusion.",3.0
35,"There are definitely more pros vs cons working at Amazon, working for the Ads organization, I can say some of them are: - Self-service culture for everything, allows you to dive deep as much as you need to learn and contribute - Processes even when seem to be totally established, the culture always allows you to build, challenge and improve, always documenting for the future. - Have the ability to collaborate with orgs that are not even part of your scope, it gives an open canvas to create valuable connections. - Remote flexibility, even when hybrid or fully, always makes the difference.","- Even when there is a lot of interaction and connections between orgs, these happens at an individual or small groups level, not necessarily driven by upper management - More organizational flexibility when it comes to PTOs",5.0
36,"Prepare to be busy. It's fast paced, so you'll need to learn the Amazon way quickly or move on. If you're not slammed putting out fires, you'll be busy completing endless continuous improvement projects. You'll learn a lot & you'll have fun doing it. Amazon is huge on professional development & you'll certainly be able to keep your skills sharp.","You'll likely be working 3rd shift & on weekends. People making a career of Amazon is extremely rare. The median tenure with Amazon is less than 4 years. There aren't many advancement opportunities in Loss Prevention unless you can constantly relocate to other states. Amazon will also tell their employees that they value internal promotions over external hires, but their actions & the compensation discrepancies will tell you the actual truth. Lastly, Amazon does not value a ""team"" mentality... They are extremely individual contributor focused. Amazon celebrates those who can easily tell you what ""they"" did, instead of what the team as a whole accomplished. As you can imagine, this can make things in the office less than cohesive, maybe even toxic",4.0
37,"Guaranteed 40 hours per week 3 days off Wonderful benefits - medical, dental, vision, etc. Amazon pays for CDL school, free-of-charge, which costs $8,000 per student Great TEAM atmosphere, especially if you work with a super group of people! Lots of free food, clothes, swag & snacks :P","Only real con is having to do OTR - at least 3 days a week - driver fatigue :( Dangerous! There should be fair job rotation, so that everyone on the Tom Team has to obtain their CDL & drive, not just a few, whilst the others get to almost do nothing in the guard shacks.",4.0
38,"- The leadership principals are used commonly as a routine, which helps the organization collectively work towards the same goals and values - High speed and velocity means you get a lot of things done. - Learn a lot by working at this scale.","- Having lot of responsibilities and juggling through them. You'll need to learn to prioritize. - The overall experience may vary from team to team - There is operations overhead, if you maintain a tier-1 service.",5.0
39,scale of business to handle and influence if you can write great tech strategy docs. good chance to grow if the charter is clear and team is tenured and if you have good PE support good pay,"your leaders play a great role in if you break or win. if they are weak, no matter how good you are you will fail. most of the leadership don't care in helping you with any challenges but you will be under the mercy of tenured SDEs in the team. SDEs can leave you overnight to other teams or give you bad feedback through connections surveys if you try to improve their performance. There is no bottom line from team unless they are awaiting a promotion, else they can just leave the team anytime you have a challenging situation.",2.0
40,"Huge company with lots of room to learn & grow Initial salary offer is pretty good especially when considering sign on bonus for the first couple of years Welcoming atmosphere, You are treated like an adult and empowered to make decisions and initiate positive change within the org","WFH policy is changing in May - 3 days a week in the office which is perhaps unnecessary. However, this depends on your team as you may still be able to work remotely. Frugality is one of the leadership principles so don't expect lots to spend on training and travel opportunities to meet colleagues in other countries or to attend conferences. However exceptions can be raised by your manager. As the org is huge - lots of information to wrap your head round - can be a little confusing at first",4.0
41,"Amazon demands the best from people. It offers as much breadth and depth of experience as you seek. They hire for cultural fit, enforce the culture to work tirelessly, and then wholly rest on PTO. They hire intelligent, capable, and hard-driven people.",The loss of long-tenured(>5 years) senior staff at the L7+ levels is robbing the company of institutional knowledge and the experience to maintain the pragmatism required in making LP tradeoffs.,4.0
42,"Although it took me about 6-7 months to really get a hang of everything the area manager role had to throw at me, once i got it, it was easy! No joke. I was inclined for a promotion about 1.5 year into the role but just offered a better opportunity else where. The point is, it’s a lot of work so expect it and be mentally prepared! It’s definitely easy to promote as long as you keep dedication to not only the core responsibilities but also people management and good relationships with other leaders. I was given lots of freedom to run shift as i see fit for myself , and my team. You can make it fun if you don’t over think. Build a strong team that you can trust and work will come easy. Mistakes will happen, regardless if your new or been there 5 years.","The people. Associates do not give one f and as an external hire, young out of college they were definitely over stepping. It was difficult with some while others were all stars and amazing. Typically you’re working 4, 10 hour days either Sun-Wed or Wed-Sat some places offer 5, 8 Mon-Fri. One thing that IRKED me was it was never 10 hours. I think with Amazon in this department, don’t expect to work a strict 10 hours. Most days i averaged 12 hours and it wasn’t rare to take work home to finish reports/etc. Although this was expected out of all management. Bad work life balance but again, i enjoyed working with my team so it was ok",4.0
43,"Lots of overtime is available. If you kept moving, they'd offer small bonuses to swing over to whoever the new guy was and help them out at the end of the shift. This happened all the time. You can still get the time off you need, but the schedule rotates through the week, so your weekend isn't always on Sat/Sun.","You're working outdoors and sometimes in some sketchy neighborhoods. Ultimately, it's not the worst unskilled labor you'll find, but know what you're getting into (or you'll hate it, which is dumb since it's pretty straightforward work). Also, the vans were rickety. I'd heard stories about this creating safety issues, but I never saw it firsthand. I still had to deal with some busted shelves/trim/etc, so there might be something to the stories.",4.0
44,"No need for gym membership. Many roles aren't as repetitive as at a fulfillment center or delivery station. Diversity. Flexible, convenient time-off options.","Corporate structure can be very rigid. Hard to leverage initiative or creativity when everyone is so focused on maximizing their short-term numbers. 4 hour shifts can be ""flexed"" up or down an hour, so you could either have 10 hours of straight manual labor or only 6 hours of work with a 2.5 hour ""lunch"" awkwardly in the middle of it. Not necessarily terrible - but know what you're signing up for and plan for this in your budget.",4.0
45,I have only been working at Amazon for a few months and I am very excited about the opportunities they have for employees. I have never worked for a company that offers and encourages self improvement. Amazon also gives stock to their employees so they can be apart of Amazon. This company also gives educational opportunities so you can go back to college or obtain a college degree. I have never worked a company that is just as passionate about their employees as there customers.,I haven't found in bad things about Amazon. I am still very new and learning my job.,5.0
46,Easy to meet quotas Good pay Decent PTO VTO,"Not a great standard for management; some are great, others horrible. Management is rotated too frequently",4.0
