,pros,cons,rating_number
23,"We didn't have sales quotas. The job was solely educating customers on products and providing great customer service. Great for those with no tech experience, apple will do all the internal work to train you. What they look for are people who are passionate and go above and beyond with customer service. Being a people's person!","Certain stores have a harder time with internal growth than others. After I left the company (not no bad terms), I still had friends who worked for apple who were looking to progress and work up the ladder. After I recommended leaving that particular store (Apple Fifth Ave) and transferring to another location, their career development was immediate. Be mindful for environments that speak about professional development and growth but do act on the practice. This happened with multiple people. However this is my only con, everything else about the company is great.",4.0
24,"- Great team Environment, a great team of people with various skills. - Flexible scheduling. - Accommodating Management. - Pay is Descent for the work - Excellent perks","- No Good upward mobility/ Gatekeeping. - Some people are fake, Ie says one thing to you and then say another to another. - Surface level environment, people smile all the time w/o being honest about true feelings.",4.0
25,great team lots of learning opportunities,often difficult to get time off your management team makes or breaks the experience pay could be better in lieu of perks,4.0
26,The great thing about apple was the benefits and job security.,Customers. The worst part was having to deal with customer entitlement.,5.0
27,"Benefits include great food options in the Cafeteria, subsidized fitness classes, onsite chiropractor and onsite medical.","Works hours can exceed the ""standard 9 to 5"" and the work week might include weekends. Hard work is usually rewarded with more work.",5.0
28,Good pay Work/Life Balance Free Food Nice office,The management does not know what they are doing,5.0
29,"Working in the Apple store is a lot of fun. You're offered a lot of autonomy in how you interact with customers, and many of those interactions can be super engaging, fulfilling, and friendly.","It was a bit stressful to try to keep a perfect customer service rating, as a single mistake even as you are just learning will severely drop your score. Coming in as a seasonal hire also makes it a more competitive environment to try to get a full-time role than you might expect coming into an entry-level retail job.",5.0
30,"Pay: pay is great. Frequent raises to keep up with cost of living and to ensure everyone in your role is around the same pay rate. Benefits: amazing; benefits team actually does listen to employees and has implemented new benefits or changed old ones to make them more favorable for employees Incentives: ESPP and stock options that vest yearly, nice discount on products The name: honestly being able to say you work or worked for Apple opens a lot of doors that would otherwise be closed or much more difficult to open otherwise","It’s retail: inconsistent schedules which makes it incredibly hard to maintain any sort of routine or to make appointments without constantly inputting in off requests Customers: most of them are great, but the bad ones really put a sour taste in your mouth. There is a level of elitism with some customers that I haven’t experienced in other jobs, both pre and post-employment with Apple. NPS: it’s a useful tool to measure performance but too much stock is put into it considering how easy it is to drop a score. I’ve had my NPS score drop because even though the customer said my service was “impeccable”, the music in the store was too loud so they gave me a passive instead of a promoter. One detractor or passive survey drops a score so much that you have to get 5-10 promoters to make up for it. There is no appeals process to have the survey not count. It affects your numbers and can affect your raise/performance when review time comes around. Unrealistic expectations: I worked at the Genius Bar. By the time I left we were expected to take 3-4 appointments per hour where we were expected to not only troubleshoot/diagnose/resolve/check in for repair devices, but to also talk up AppleCare+, get a new business intro, talk about new products and upgrades, answer all customer questions, and learn/connect with the customer as a human. All of that CAN be done, but not in 15 minutes. That’s 1-2 appointments per hour, not 3-4. It didn’t matter how high your NPS or other metrics were, if you didn’t hit that 3-4 appointments per hour you were constantly pulled into “connections” with your connection leader to talk about it. Irritating. Leadership: inconsistent and very hit-or-miss. Some were very by-the-book and almost robotic, others were more human and understanding. Some had issues with micromanaging, no matter how many feedback conversations you had with them. Very few I felt I could actually trust. Lack of upward mobility: moving from specialist to expert is pretty easy. Anything beyond that gets significantly harder. Breaking into the corporate side is virtually impossible. Phone Support: there is a HUGE disconnect between phone support and store support. Phone support is awful, and they frequently lie and/or give incorrect information to customers, and store employees are left to clean up the mess and reset expectations.",3.0
31,This is great job for college students to get some extra cash. The hours and flexible with school schedules.,It’s a Sales environment without commission,5.0
32,Nice benefits and good work culture,End up overworking several times due to strict deadlines.,5.0
33,"They work around your schedule, training is paid, and takes place at night. The benefits are amazing.","Very repetitive, and you'll have little say over how you can evolve.",5.0
34,- Development Opportunities - Discounts - Health Benefits,- Incompetent Leadership - Lack of meaningful communication,5.0
35,"Big company, people are friendly",Too many people to apply for one position,5.0
36,"100k an hr lol, its cooll, 3 ipone, get to see new ipad","nothing really, hate boss, one wierd coworker called josh, karens pretty much it tbf",5.0
37,Cool place to work and nice people to work with (for the most part).,Didn't like the management team too much. Can be petty and favoritism does happen.,5.0
38,"• Deliver exceptional pre and post sales customer service around Apple’s product lines; • Maintain customer relationships ,understand the customer's requirements, match them with proper solutions, and close the deal; • Maintain sale order in CRM system-create order/revise existing order, check cash collection before delivery ; • Handling delivery and invoice, make sure all of delivery is accepted by customer ,ensure customer’s satisfaction; • Do proper documentation as per company policy to meet audit requirement;",nothing but all the best,5.0
39,"great benefits and culture, above all",retail hours but that is just part of the industry,5.0
40,Pay and benefits great for being a retail job.,"Because it’s retail, you deal with retail hours.",5.0
41,High pay Great benefits Discounts on products,"Not once did I feel like we had a strategy or mission to work towards. Management and employees equates the launch of product to being in a war rooms, creating unnecessary metaphors to killing people if the job isn't done correctly. There was no single way to mess up this job so severely that anything even close to changing the trillion dollar bottom line was possible.",2.0
42,Decent pay and much room for growth and more opportunities,"Can be micro managed, hard hours",4.0
43,Fun people to work with,Tough schedule flexibility. Won’t get time off approved in peak season.,4.0
44,I lover the workflow with apple products,I hate how much i have to work,5.0
45,"Interesting work, challenging, room for growth, nice coworkers, good benefits","Communication between teams is difficult to have, things take a long time to get approved, bad management is common",4.0
46,"Good food, people on the team were amazing, although that could vary depending on your team. Lots of intern events in Cupertino to meet other interns and executives. Many employees are Apple fans, which is fun, sort of like cheering on a sports team?","Very secretive, and it doesn’t seem like outside the box thinking is respected much, but maybe that’s just cuz I was an intern. Product releases were fun as you found out what you were unknowingly working on.",4.0
47,Everyone is pretty much top-notch,"yeah it can get out of hand. I'd hard not to put in the hours to get the job done well. We do it to ourselves. So take it easy when things are quiet, you'll be back at the grindstone soon enough.",5.0
48,"great co-workers, supportive leadership, potential for lots of growth opportunity","If you're in retail, the gig can be hit or miss. Getting into the corporate side offers tremendous career potential if you are persistent and patient.",4.0
49,"Great benefits, pay, employees, and vibes",Some customers are no at alls.,3.0
50,This is great job for college students to get some extra cash. The hours and flexible with school schedules.,It’s a Sales environment without commission,5.0
51,Nice benefits and good work culture,End up overworking several times due to strict deadlines.,5.0
52,"With a great Store Leader and humble Senior Managers and Managers, working in Apple Retail can be an amazing career where you feel valued, develop lifelong skills and make great friendships.","A single bad apple can ruin the bunch. When Leadership cares more about their own political image and does whatever they need to advance their own careers in sacrifice to the people that do the work, Apple can become a toxic work environment where even the most positive people are left stripped down to a shell of their former self.",4.0
53,"They work around your schedule, training is paid, and takes place at night. The benefits are amazing.","Very repetitive, and you'll have little say over how you can evolve.",5.0
54,The people at Apple are a different breed and the most pleasant to be around. I love being around different personalities because it really contributed to growth and development as well as knowledge and learning new things! I also enjoyed remaining active in the role and being on my feet all day.,"The only downside is it can get a little repetitious as there are daily tasks that need to be completed, but if you don't have great leaders or organization to continue to push you, it can get a little draining and overwhelming.",4.0
55,- Development Opportunities - Discounts - Health Benefits,- Incompetent Leadership - Lack of meaningful communication,5.0
56,Decent pay considering lack of requirements for work history or education. Generally good environment where your relationships with coworkers makes all the difference. The vibe on the technical support and repair side of things tends to be pretty close knit and supportive of each other. Benefits for part timers are decent and have gotten better over the last couple years.,Really varies depending on your particular store and leadership. You can only really move up if you fully buy into the culture which can feel cultish. Corporate bureaucracy can often complicate things that should be simple.,4.0
57,"Apple has a very competitive pay and benefits structure when compared with other retail locations. Apple is laser-focused on DEI, which has been helping to elevate under-represented community members. Apple retail workers are largely educated, and interesting individuals. It's a fun environment","Apple is not a normal retailer. Retail workers create tickets for emerging tech issues, complete complicated repairs, overcome extremely angry customers on a daily basis, and many other complex and ambiguous tasks, but are still paid as though they fold jeans or sell hammers (having close friends within clothing and home goods retailers, the pay is within 5-10%). The work is not equitable with the pay. While there has been a focus on DEI, and elevating minorities, Apple does not have many pipelines for upward mobility from within Retail. Unlike myself, most teammates are unable to move into leadership within 5 years of starting at Apple. 5 years is a career-lifetime in our modern business environment, so Apple loses many skilled people who want upward mobility.",2.0
58,Great benefits and learning experience.,Managers often leave a wake of firings when they are promoted.,3.0
59,"Some pros of working at Apple include the opportunity to work on cutting-edge technology and products, a strong company culture and brand, competitive compensation and benefits, and potential for career advancement. Additionally, many employees report a positive work-life balance and a supportive and collaborative work environment.","Some potential cons of working at Apple include a competitive and fast-paced work environment, which can be stressful for some employees. Additionally, there may be a high expectation for secrecy and confidentiality, which can make it difficult to share information or collaborate with others outside the company. Some former employees also reported feeling micromanaged or having limited autonomy in their work. Additionally, some employees may find the company culture to be exclusive or insular, and may not feel that they fit in with the company's values and way of working.",4.0
60,Good culture and good environment,a lot of work for little pay,4.0
61,Good benefits for part timers,Have to work weekends Employee quality has gone down,4.0
62,Very good benefits and environment,Too stressful and too much work,5.0
63,Great development for sales career.,Politics are trickled down from the top.,5.0
64,"We didn't have sales quotas. The job was solely educating customers on products and providing great customer service. Great for those with no tech experience, apple will do all the internal work to train you. What they look for are people who are passionate and go above and beyond with customer service. Being a people's person!","Certain stores have a harder time with internal growth than others. After I left the company (not no bad terms), I still had friends who worked for apple who were looking to progress and work up the ladder. After I recommended leaving that particular store (Apple Fifth Ave) and transferring to another location, their career development was immediate. Be mindful for environments that speak about professional development and growth but do act on the practice. This happened with multiple people. However this is my only con, everything else about the company is great.",4.0
65,"- Great team Environment, a great team of people with various skills. - Flexible scheduling. - Accommodating Management. - Pay is Descent for the work - Excellent perks","- No Good upward mobility/ Gatekeeping. - Some people are fake, Ie says one thing to you and then say another to another. - Surface level environment, people smile all the time w/o being honest about true feelings.",4.0
66,"- being the largest company, sr leadership ethos are still intact.",- several siloed verticals within the company,5.0
67,great team lots of learning opportunities,often difficult to get time off your management team makes or breaks the experience pay could be better in lieu of perks,4.0
68,"Innovative and dynamic work environment: Apple is known for being at the forefront of technology and innovation, and this is reflected in the company's work environment. Employees at Apple have the opportunity to work on cutting-edge projects and products that are shaping the future. Great benefits: Apple offers a range of benefits to its employees, including health insurance, 401(k) matching, and employee discounts on Apple products. Employee development: Apple places a strong emphasis on employee development and provides a range of resources and opportunities for employees to learn and grow in their careers.","High expectations: Apple is known for having high expectations for its employees, which can lead to a demanding work environment. Long hours: Depending on the role, working at Apple may require long hours, including evenings and weekends. Competition for promotions: Because Apple is a highly sought-after employer, there may be competition for promotions and opportunities for advancement within the company.",5.0
69,"Good company, good benefits, better people",A lot of changes recently that have growing pains,5.0
70,So many great benefits. They truly value to growth and development of their employees.,No cons due to the many pros,5.0
71,Best case scenario for retail - slightly above starvation wages and moderate benefits,Benefits are very hard to take advantage of (its tons of paperwork) and often is not truly better than a non-discounted or third party alternative. Managers can do whatever they want and don't have any transparent form of accountability in the same way they expect of their employees,3.0
72,Good pay and hours love the company,There are no cons I love the job,5.0
73,Amazing experience with good work life balance,Takes lots of time to learn used databases,4.0
74,strong company culture and opportunities for growth,large company with lack of transparency,5.0
75,"The vacation and sick time, health insurance, pay, ESPP, and other benefits were so great, I was almost always impressed with the generosity and flexibility.","The culture was incredibly toxic and suffocating. The lack of diversity was very problematic, there were no women or POC (tech minorities) anywhere up my entire manager chain all the up to Tim Cook. People I worked with were often rude, impatient, and biased towards underrepresented minorities in tech. Management was unhelpful, often gaslighting complaints. HR is nowhere to be seen. The perks were not worth the trauma.",2.0
76,Has a lot of smart people here and there. Experience is highly team dependent,"Big company and feels like it, very slow, and there is an unexpectedly high number of people who do not pull their weight",4.0
77,Good benefits with pay and work.,Work life balance is tough.,5.0
78,"Good, great work environment is the best","None, all good pays well",5.0
79,Pay. Great work-life balance. Tuition assistance and the community built around our store was so beautiful to be a part of.,Problem solving with rude customers,5.0
80,good and great and good,not many it is goos,5.0
81,Focus on creating a diverse culture.,Average pay for a trillion dollar company,5.0
82,Employee focus and team building is great... you feel part of the bigger picture,"It can get busy, so stay sharp!",5.0
83,Great people and company. Amazing,Need more holiday hours please,5.0
84,awesome environment to woke in,can be challenging at times,5.0
85,The company takes care of its employees. It's built for the ups and downs.,There are not many cons,5.0
86,Great job with wonderful benefits,From my experience the only con was some of the people that,5.0
87,"Great environment, mentorship support and ability to move up within the company","Held to a high standard, not a job for those not willing to exceed expectations",5.0
88,Pay is good. Talented eng team.,Too much security and secrecy.,5.0
89,it was good to work at apple,it was bit stressful managing the timlines,4.0
90,Environment is truly an amazing time,Hours are long most days,5.0
91,"""As the Chief Imagination Officer at the Bureau of Creative Solutions, you will be responsible for dreaming up and implementing innovative ideas to solve complex problems. Whether it's developing a new way to reduce pollution or creating a program to bring art education to underserved communities, your creativity and outside-the-box thinking will be key to the success of the organization. You'll work closely with a talented team of designers, writers, and strategists to bring your ideas to life, and you'll have the opportunity to make a real impact on the world around you.","In this role, you'll have the freedom to let your imagination run wild and the support to turn your wildest ideas into reality.",5.0
92,Great company to work for and there is never a dull moment.,No growth potential unless someone leaves the company,4.0
93,Great benefits Support from management Helpful training,Not easy transferring to different stores,5.0
94,Was a pretty good experience working there,Some customers were complaining a bit but my staff are all great,5.0
95,salary collective office tasks management,i didnt see any cons fo real,5.0
96,Awesome workspace Great coworkers Great team leadership Good benefits,There so no bad things wrong,5.0
97,+ Salary + Working environment,- exchange between employees between departments,4.0
98,Benefits are fantastic. Always adding,None to speak of. They take good care of us.,5.0
99,"Benefits, pay, and people are great",Retail is hard but fast paced and can get lost,5.0
100,- The training provided to leadership will prepare you to work anywhere in CA - You are pushed to your potential - The amazing relationships built with direct reports - Being ahead of the tech if you are a huge Apple fan,- Lack of empathy at times from top down Sr. Leaders - Having to protect your direct reports from people looking to blame others - Performing well and ethically requires far more then 40 hr weeks - It's the only place more political then the Whitehouse - Ego prevents real growth of internal organizations and strongly impacts front line employees,3.0
101,Fun and distracting when you’re initially hired. Everyone seems nice and is kind.,It’s life-draining. They don’t care about you. You’re another number to management. There is no work life balance. I’ve been on LOA because they made me so stressed that I have panic attacks just thinking about returning.,3.0
102,Very good benefits and environment,Too stressful and too much work,5.0
103,Great development for sales career.,Politics are trickled down from the top.,5.0
104,"- being the largest company, sr leadership ethos are still intact.",- several siloed verticals within the company,5.0
105,"Innovative and dynamic work environment: Apple is known for being at the forefront of technology and innovation, and this is reflected in the company's work environment. Employees at Apple have the opportunity to work on cutting-edge projects and products that are shaping the future. Great benefits: Apple offers a range of benefits to its employees, including health insurance, 401(k) matching, and employee discounts on Apple products. Employee development: Apple places a strong emphasis on employee development and provides a range of resources and opportunities for employees to learn and grow in their careers.","High expectations: Apple is known for having high expectations for its employees, which can lead to a demanding work environment. Long hours: Depending on the role, working at Apple may require long hours, including evenings and weekends. Competition for promotions: Because Apple is a highly sought-after employer, there may be competition for promotions and opportunities for advancement within the company.",5.0
106,Gain good communication skills Meet different types of people,Limited opportunities to advance within the company.,3.0
107,"Good company, good benefits, better people",A lot of changes recently that have growing pains,5.0
108,-Good pay and benefits -Smart and passionate colleagues -Clean offices,"-Micromanagement -Long hours, easy to burn out -Constantly expected to overproduce due to lean teams -Depends on team, but easy to not feel appreciated",2.0
109,"some pros are Pay, benefits and stock purchase plan.","Apple wrongfully terminated an employee who showed evidence of them being pursued and being manipulated and lied too. And left that person with no information for over 3 weeks or asked for any other evidence. They chose to fire them without having all the information and having misinformation. That coworker was terminated with false information and misplaced info given to apple. They used that person to set an example due to just a few weeks before that investigation a news article came out of apple that apple has failed to handle harassment conduct. That co worker was set up and had all the evidence and they still chose to fire that employee. But the other party involved nothing was done to them and they broke business conduct. The other party she sent nudes to a coworker without asking, pursued the male coworker making it seem like she was interested in them, and would express how she liked them. To then claim she never was into them and there were messages to prove. But because the man did not make the claim and was manipulated into thinking he was liked he was turned on and terminated under wrongful terms.",3.0
110,Great company to work for.,Do not pay well at all,5.0
111,"amazing benefits with health, dental, and vision insurance",none that i can think of,5.0
112,"If you want to work on real products like operating systems, compilers, languages, complex apps, this is the place for you.","There are so many insane managers it’s not even funny. Everyone will throw you under the bus for their mistakes. You can’t trust anyone in management, and even with proof of documented lying and abuse, HR will do nothing. The company claims they have plenty of policies around respect, trust, anti-abuse. It’s all a smokescreen. In general the company has a policy of inaction - whatever they can do to sweep problems under the rug, they will do.",3.0
113,Pretty good not bad place,Not a bad place to work,1.0
114,"Very good work culture, transparency in everything","Work pressure is more, sometimes work life balance not good",5.0
115,"I was encouraged and step outside my personal bubble, I grew so much here and recommend it to anyone!","I wish I could have gotten to know more people, everyone was lovely and just wasn’t always schedule with the same people",5.0
116,"amazing hours, great environment, good staff",Work can be excessive sometimes,5.0
117,"Good for career growth, good salary","Too much work pressure, bad managers",5.0
118,"Great benefits along with a very good overall working environment that tries to minimize burnout. Compensation is very high compared to similar jobs in the field, especially for retail.","Nothing Apple can really control, but there tends to be a lot of employees with inflated egos as you move up in the company. It’s mostly manageable, but it’s sometimes becomes frustrating to deal with.",5.0
119,Good pro .. every thing great,Everything great. Sometimes not so great,3.0
120,Work with hard working people Prestige and clout from working on things that have worldwide recognition Get to work on cutting edge stuff with next to no limitations,"Compensation growth within Apple can be lacking, depending on teams: ""The first review after promo you're never allowed to get anything above a 6/9 -- it's a [ORG] thing"" Not the greatest WLB Try-hard work-hard culture (lots of mails and communication from everyone outside of work hours)",4.0
121,Apple really cares about its employees.,Customers are generally angry and act like entitled children.,5.0
122,"I know it's retail, but Apple is very well-focused on customer experience and employees. It provides many benefits and a higher wage than any place with so much care for its employees. Great workplace if you love exposure to ambiguity, new changes, and challenges. Working with customers can be stressful,","Work-life balance: weekends, holidays since it's retail Sometimes, too many changes in a short duration of time Feedback culture, but rarely teaches employees to provide/receive feedback.",5.0
123,"Great benefits, great pay, good people",Makes you lose focus of bigger picture,4.0
124,great benefits and easy to get shift coverage,managers are super lame and annoying,5.0
125,good and great and good,not many it is goos,5.0
126,"Very good about instilling team morale, enforcing breaks, pay is good comparable to other companies",Offer more full time positions,4.0
127,Benefits are great. Discounts are decent but could be better. Pay is not the worst but should be a lot better considering Apple is a trillion dollar company.,"Not enough vacation time. You build vacation/sick time by the hours you work each pay period. Management is toxic. They will hold you to standards that they themselves don’t abide by. They come and go as they please if they even show up at all yet they still get paid because they’re salary. It’s a buddy club at the management level. You have your manager, they report to an area manager, and the area manager reports to a senior area manager. They all do the same shady thing where they collect a paycheck but barely show up so you will never see a manager get fired because all of the shady behavior is just swept under the rug and hidden from upper management. Not to mention that all these different tiers of management work mostly from home so there’s nobody above them that has eyes on them. If upper management wasn’t so clueless they’d see that there’s absolutely no reason for three different tiers of management. Upper management has recently implemented a policy in which people who were working from home even long before the pandemic are no longer going to be considered for promotions unless they move to an on-site location. Management will counter that claim by saying it’s all about who you know, and developing your skills but they don’t give you time off the phones to better yourself. The training is very poor in quality too. You will never have weekends or holidays off and if you do it’s a rarity. Also, the hours of operation are horrible. AppleCare goes by Central Time hours which is 7AM-10PM Central. What this means that if you live outside of the Pacific time zone you are working later hours which is horrible in my opinion. Forget having a work-life balance if you’re on the east coast. And here’s the worst part, your schedule is not fixed. You have to bid on a new shift every few months and that process is very convoluted because it’s based on job performance, not seniority. As far as the metrics they use to judge your performance, they’re near impossible to meet. A large part of the metrics are based on customer surveys which basically means you’re on the front lines taking bad surveys from customers who are not necessarily upset at you but are angry with Apple’s products or their policies. So you’re punished with a horrible schedule for things that are entirely out of your control. Raises are not that great. If I average out my yearly pay increase since I’ve been here it comes out to an $1.78 dollar increase each year. To me that is just not great considering the cost of living and the fact that Apple has no problem giving stock grants to privileged board members.",1.0
128,Focus on creating a diverse culture.,Average pay for a trillion dollar company,5.0
