Unnamed: 0,Rating,Title,Pro,Con,Job Title,Status,Region,Date
22,20,Ehhh,It’s kind of an ok job,The pay is too low at this place,Mechanic,Current Employee,nan,Apr 26 2022
23,30,Was okay,Great atmosphere and location is not too far away,Over worked and underpaid for what you have to put up with,Diesel Technician,Former Employee,nan,Feb 14 2022
24,40,Great intro to the industry,Great access to mentors very hands on experience,Intern sponsors can be overwhelmed trying to balance an intern and their day to day work,Intern,Current Employee,Middle River MD,Jan 31 2022
25,10,Horrible,None Experience to move on to better companies,Horrible work environment Horrible upper management They cant even get HR managers to stay,Anonymous Employee,Current Employee,nan,Mar 2 2022
26,50,Great company,Great team culture upward mobility,There really arent any cons that I can think of,Anonymous Employee,Former Employee,nan,Jan 5 2022
27,30,A,There is a lot of Overtime,The pay isn’t worth the Work,Aircraft Technician,Current Employee,nan,Jan 10 2022
28,20,Pay isnt great,They will pay for schooling,The pay is not good,Aviation Maintenance Technician,Current Employee,Mobile AL,Jan 16 2022
29,20,Don’t work here,Experience to go elsewhere in the field,They work you to the bone and don’t care about their employees,AampP Mechanic,Former Employee,Pensacola FL,Dec 19 2021
30,20,Don’t work here,Experience to go elsewhere in the field,They work you to the bone and don’t care about their employees,AampP Mechanic,Former Employee,Pensacola FL,Dec 19 2021
31,30,Decent Place to Work,Smaller company Communication is decent,Pay is very low but on par with employers in South Mississippi,Project Manager,Current Employee,Pascagoula MS,Nov 16 2021
32,20,Company is dead in the water,A job for those in need of some income Perfect for masochists who want to work nights and weekends at below market salaries,No vision stagnate performance for over a decade constant turnover on all levels below market pay,Accounting and Finance,Former Employee,nan,Jul 29 2021
33,50,Love this Company,Great team and environment to work in,No cons to report Love my job,Quality Assurance,Current Employee,Baltimore MD,Jul 6 2021
34,50,Constantly challenging but working with very smart people,Flexible with time and PTO Very knowledgeable intelligent people work here You are constantly pushed to expand your learning,Large volume of work You need to be flexible with time as well Need to be mostly or entirely self sufficient Often changing timelines and priorities its agile Very meticulous work documentation some bugs can take weeks to resolvedocumentvalidate,Engineer II Software,Current Employee,Herndon VA,Apr 4 2021
35,40,engineering,great career prospectchallenging work and intellectual development,lack of gender diversity in the fieldshrinkage job growth in certain specialties,Engineering Manager,Current Employee,New York NY,Jun 22 2021
36,20,Salary,autonomy familial management flexibility opportunity,Familial management political situation of country,Supply Chain Manager,Current Employee,Guinea VA,Nov 1 2021
37,10,Airman Training Program,Get paid to learn on the job when you are actually working,No urgency in program most incoming trainees were told it would be an 18 month program and are still training at 2 years Program leadership is unaware of the situation No guarantee on when they will get you to the license testing,Aircraft Mechanic Trainee,Current Employee,Pensacola FL,Jun 15 2021
38,50,Fast paced competitive work place,Good overall culture Management is starting to be responsive and agile,Too many Silos New employees are a bit lost initially,Principal Software Engineer,Current Employee,Herndon VA,Apr 15 2021
39,40,Good,I love it in every way,So good and adorable to work with,Engineering,Current Employee,Fort Carson CO,Apr 22 2021
40,10,lazy coworkers,not much besides lax work environment,lazy coworkers who were too busy worrying about what ewchother was doing over getting a job done,Composite Technician,Former Employee,nan,Sep 21 2021
41,10,Stay away,There are no longer any pros for working at the Kidron plant,GM has no clue how to run a company GM and HR lie about anything and everything,Welder,Former Employee,Kidron OH,Aug 1 2021
42,40,Good Opportunities Lacking Care for Employees,Unique opportunities Large company lots of room to grow Stable jobs,Lack of appropriate sick leave Hard to get a performance reviewcompensation discussion,Quality Assurance Analyst,Current Employee,Mobile AL,Feb 18 2021
43,10,Terrible company,None nothing at all is good about working for this company Stay away is the best advice I can give,Pay is low Benefits really arent that great Management is absolutely terrible You get punished for actually trying to do your job,Anonymous Employee,Current Employee,nan,Jul 29 2021
44,20,Operations Manager,Flexible work from home ability currently after Covid,Pay is not the best,Operations Manager,Current Employee,Hartford CT,Jul 16 2021
45,20,Not a positive working space,Easy Work Fast Paced Environment,Management knows less than floor workers and constantly heckles and targets employees they dont like Covid protocol and social distancing are non existent Workplace is toxic All around not the best experience,Manufacturing Technician,Current Employee,Baltimore MD,Apr 28 2021
46,30,Gary,Day shift vacation and pay not bad,Poor management no consistent schedule,Group Leader,Current Employee,Kidron OH,Jul 1 2021
47,30,Good place to start,Great place to gain experience Old company that really needs some fresh ideas soa re willing to listen PTO and benefits,Can feel unorganized at times Lowpay More tasks than can handle at times,Workforce Development Specialist,Current Employee,Mobile AL,Mar 30 2021
48,30,Ok,Its a good place to start and learn more as a mechanic,Management is terrible no hours as a contractor,Aircraft Mechanic,Current Employee,San Antonio TX,Apr 28 2021
49,30,Alright place,Good experience overtime If you consider overtime a pro,They tell you you’re working the weekend on Friday right before you leave Management not very originated,APG Technician,Current Employee,Pensacola FL,Mar 1 2021
50,10,k Job,Good people pay benefits hours,long hours rude mgmt no advancment,Mechanic,Current Employee,Mobile AL,Apr 7 2021
51,50,Great place to work,Great pay and benefits lots of room for advancement,The hangars can get warm,Workforce Development Coordinator,Current Employee,nan,Aug 17 2020
52,20,Shady place,Heavy maintenance experience good leads,They do everything they can to mess up your pay,Apg Mechanic,Current Employee,nan,Jan 14 2021
53,10,I dont like or trust this place,Great experience to move on to other jobs,Pay Leads dont teach Broken tools Jobs get rushed which isnt safe Theres always either too many mechanics and people get laid off or not enough Never a healthy amount,Apg Mechanic,Current Employee,nan,Nov 2 2020
54,30,Good for fresh graduate,able to learn a lot if u r willing to do so,Difficult to work together with workshop staff,Engineer,Former Employee,nan,Sep 21 2020
55,30,Admin,Good benefit such as holiday pto and 401,High turnover rate bad management,Network Administrator,Current Employee,Alexandria VA,Sep 29 2020
56,30,No common mission,Large with many different business units,not sure what business is their priority,RVP Sales,Former Employee,nan,Sep 23 2020
57,10,Poor communication,None that I can think of,Poor communication Poor pay Union,Operator,Former Employee,Baltimore MD,Oct 5 2020
58,10,Awful Place to Work,Insurance is decent Other than that not much,Treat you like a number HR Department is AWFUL Constant turn over Too interested in personal gains and cliques to worry about laws and employees,Changed Constantly,Former Employee,Mobile AL,Jul 8 2020
59,10,None,I like the hours and overtime,Im not sure I havent started yet,Tooling Engineer,Current Employee,nan,Jul 9 2020
60,50,Overall,good work life balance company respects ur leave,pay too low for market rate,Assistant Manager,Current Employee,nan,Jan 17 2023
61,30,Forward thinking company,Forward thinking Latitude for growth as there are various commercial groups under the ST umbrella WFH options are available,May face pressure from other BU heads to cater to their needs and operations,Assistant Manager Procurement,Former Employee,Paya Lebar,Feb 8 2023
62,30,Not my first choice,Good pay and MNC experience,world is moving forward but the department that im in are still lacking with automation or the automation are creating more administrative work mgr and subordinate does not talk to each other,Senior Account Executive,Current Employee,Singapore,Feb 4 2023
63,40,Experienced management team,Experienced management team and they know what they are doing Good teamwork work,There is to much things to be done,Senior Systems Engineer,Current Employee,Ang Mo Kio New Town,Jan 1 2023
64,30,Good work life balance,good work life balance and helpful colleagues,slow career progression annoying processes,Engineer,Current Employee,Ang Mo Kio New Town,Feb 17 2023
65,50,Tlae,Good place to work and gain basic knowledge and skills working on aircraft,Nothing bad for the employees and its a great company to work for,LAETSalesInside Sales,Current Employee,Singapore,Dec 15 2022
66,40,nice,colleagues are very kind and supportive,Low salary and annual bonus,Software Engineer,Current Employee,Ang Mo Kio New Town,Jan 11 2023
67,20,Disappointing Experience,You will learn a lot You will pick up a new language How to work under intense scrutiny How to work in an office where your manager shouts your mistakes to the entire office At least you get some worklife balance,I was hired during a transitional period I was interviewed and hired by Employer ACompany A But when I went started Emp A had left and Emp BCompany B took over the role Many red tapes and micromanaging by superiors ensured you will not be able to do things your way Requests will come late and will rush you to do it immediately even though you highlighted that it will take time Meetings were either in mandarin or in some dialect I dont fault them but I was not a fit at all,Executive,Former Employee,nan,Nov 16 2022
68,10,Generally,Great colleagues Stability It is who you know,Very messy since restructuring High turnover at operational level especially HR and finance Slow pay rise,Senior Manager,Former Employee,Ang Mo Kio New Town,Jan 30 2023
69,20,Retiree home,can be relatively normal pace across the year,boring slow and outdated management,Project Engineer,Current Employee,Singapore,Feb 11 2023
70,40,nice place,good pay decent job but hard life,no AWS and 12 monthsstable job and career,Mechanical Engineer,Current Employee,Changi Village,Jan 25 2023
71,20,Review your salary package,Good and helpful collegues as long as work is not involved,Higher Managements style of appraisal discourage team work to prevent down stream problems and emphaise on individual who vocally solve the problem that the individual created Low pay and glass ceiling due to parachuting management,Senior Design Engineer,Former Employee,Boon Lay,Dec 22 2022
72,20,Pay not competetive but still have work life balance,Good work life balance not bad junior managers But senior managers are clueless on whats happening on the ground,Tightunrealistic deadline from defense customers ST senior management full of ex armed forces officers who have no clue about the technology being used in our projects very bad pay some m1 or m2 engineers have worked for 10 years with 2 digit or,Senior Software Engineer II,Current Employee,nan,Aug 6 2022
73,20,Can only work if you have Passion,Friendly colleagues free parking Interesting job,Low pay and increment Unable to retain and attract talent A lot of red tape and security protocols but no compensation,Senior Principal Engineer,Current Employee,nan,Dec 29 2022
74,30,Employment,Good for fresh diploma graduate to start off with,Depending on individual to judge,Service Engineer,Current Employee,Singapore,Jan 24 2023
75,40,Work,Very Good Work Life Balance,Not as motivated as commercial sectors,Engineer,Current Employee,Jurong West New Town,Jan 25 2023
76,20,low bonus and employee welfare,stable structured with many long serving employees,low bonus and employee welfare,Assistant Manager,Former Employee,nan,Jan 23 2023
77,40,NIL,friendly environment relaxed nothing much else to say,quite slow paced Experience it yourself when you enter,Cloud Engineer,Current Employee,nan,Jan 20 2023
78,50,Qa engineer,Learn alot from the seniors great place to work in,Cant think of any yet,Engineer,Current Employee,nan,Jan 18 2023
79,50,Overall,good work life balance company respects ur leave,pay too low for market rate,Assistant Manager,Current Employee,nan,Jan 17 2023
80,20,Good for retirement,Slow paced environment many peers to talk to,Slow career progression heavy workload of executives as managers are not supportive,Senior Engineer,Former Employee,nan,Jan 11 2023
81,30,Good place to start your career,Big company with many opportunities within good place to start your career,Limited career planning and prospect at senior level,AVPSales,Current Employee,Singapore,Jan 8 2023
82,30,Sales Engineer,13th month and year end bonus,Work can be heavy sometimes,Assistant Project Manager,Former Employee,nan,Jan 17 2023
83,30,Good,Lack of man power as always,Good working environment and friendly colleague,Buyer,Current Employee,nan,Jan 16 2023
84,40,Experienced management team,Experienced management team and they know what they are doing Good teamwork work,There is to much things to be done,Senior Systems Engineer,Current Employee,Ang Mo Kio New Town,Jan 1 2023
85,30,short review,work life balance decent pay place to retire,slow growth old traditional thinking,Software Engineeer,Current Employee,Ang Mo Kio New Town,Jan 13 2023
86,50,Tlae,Good place to work and gain basic knowledge and skills working on aircraft,Nothing bad for the employees and its a great company to work for,LAETSalesInside Sales,Current Employee,Singapore,Dec 15 2022
87,30,Its ok,Time to learn new technologies,Salary I feel is somewhat below market value for older staff,Manager,Current Employee,Singapore,Jan 9 2023
88,40,nice,colleagues are very kind and supportive,Low salary and annual bonus,Software Engineer,Current Employee,Ang Mo Kio New Town,Jan 11 2023
89,20,Good environment but low salary,Good environment Good learning experience,Lower salary for software engineers as compared to friends in the same field,Software Engineer,Current Employee,nan,Jan 5 2023
90,40,Work life balance,Very good work culture supportive colleagues,There are no cons in this company,Technical Writer,Former Employee,Singapore,Dec 4 2022
91,50,Best,Good best great awesome exciting,Nothing to say bad about them,Planner,Current Employee,Flensburg,Dec 1 2022
92,20,Good for retirement,Slow paced environment many peers to talk to,Slow career progression heavy workload of executives as managers are not supportive,Senior Engineer,Former Employee,nan,Jan 11 2023
93,30,Good place to start your career,Big company with many opportunities within good place to start your career,Limited career planning and prospect at senior level,AVPSales,Current Employee,Singapore,Jan 8 2023
94,30,Sales Engineer,13th month and year end bonus,Work can be heavy sometimes,Assistant Project Manager,Former Employee,nan,Jan 17 2023
95,50,Great experience,Very good performance and nice,Please before taking fresher please provide training for them,Jewellery Designer,Former Employee,nan,Nov 27 2022
96,50,Good,This is Aerospace Department in LT Comapany,Project management file work always Challenges work,Design Engineer,Current Employee,nan,Nov 16 2022
97,30,Good,Lack of man power as always,Good working environment and friendly colleague,Buyer,Current Employee,nan,Jan 16 2023
98,30,short review,work life balance decent pay place to retire,slow growth old traditional thinking,Software Engineeer,Current Employee,Ang Mo Kio New Town,Jan 13 2023
99,30,Its ok,Time to learn new technologies,Salary I feel is somewhat below market value for older staff,Manager,Current Employee,Singapore,Jan 9 2023
100,20,Ok for no expectations of progression,Public listed governmentlinked relatively stable,Traditional hierarchical inclined towards oppressive by condoning abusive behaviors Understand however not apply to all business units Executive management appears more open than local office management,Finance,Current Employee,nan,Nov 29 2022
101,30,Its okay,Good starting pay good opportunities for learning and taking higher responsibility,Increments are terribly low 12 per year Long hours Staff morale is terrible,Senior Engineer,Current Employee,Jurong East New Town,Dec 14 2022
102,30,Mediocre,Good for learning for fresh grads,Understaff Overworked pay too little,Engineer,Former Employee,nan,Dec 25 2022
103,30,Not Bad,Lots of government contracts so business is good,Many ex Army officers working here,IT Specialist,Former Employee,Ang Mo Kio New Town,Dec 21 2022
104,30,N8ce ppace to get some experience,Good people to work with Intresting work,Low salaries Low worklife balance,Software Engineer,Former Employee,nan,Dec 17 2022
105,50,Good Team,Team was good and adaptive,Not applicable for now yet,Anonymous Employee,Current Employee,nan,Dec 20 2022
106,40,Great if you are under the right boss horrible if you are under a bad one,I have experienced being in different teams and bosses I met my best boss and worst boss there Going on course are sponsored Pay is better for local degree students,I have experienced being in different teams and bosses I met my best boss and worst boss there Health insurance was basic basic health screening yearly see GP with copay 5 for affiliated clinics,Senior Software Developer,Current Employee,Ang Mo Kio New Town,Sep 10 2022
107,20,Pay and culture,People are friendly if you work for a priod of long enough,Stagnant and conservative and resistance to change,Senior Manager,Current Employee,nan,Dec 13 2022
108,30,nil,very relax and stress less,bad progression in this company,Software Engineer,Current Employee,Ang Mo Kio New Town,Dec 20 2022
109,20,Staff benefits have been disappearing,Stable job no need to worry when your next pay check is coming,Have to worry how much the pay check is worth and does nothing to retain good employees You will feel like profits are everything and they forget they are a government linked company,Manager,Current Employee,nan,Oct 16 2022
110,40,Knows how to treat IT staff well,I like the flexible working hours and flexible lunch time hour Varies from Departments and bosses Even if you are tired of your job you can explore other fields in IT within ST Engineering easily,If youre working on confidential projects you cannot work from home If youre working on confidential projects you cannot bring a camera phone in,Software Engineer,Current Employee,nan,Sep 14 2022
111,30,Working life,Flexible working hours on site,Poor leadership on management no progression and low wage,Senior Engineer,Current Employee,nan,Dec 13 2022
112,40,Average,Overall the team and colleagues are friendly stable environment,It is considered as government sector and not so much international exposure,Business Development Executive,Current Employee,nan,Oct 24 2022
113,20,Ok for no expectations of progression,Public listed governmentlinked relatively stable,Traditional hierarchical inclined towards oppressive by condoning abusive behaviors Understand however not apply to all business units Executive management appears more open than local office management,Finance,Current Employee,nan,Nov 29 2022
114,30,Its okay,Good starting pay good opportunities for learning and taking higher responsibility,Increments are terribly low 12 per year Long hours Staff morale is terrible,Senior Engineer,Current Employee,Jurong East New Town,Dec 14 2022
115,30,Mediocre,Good for learning for fresh grads,Understaff Overworked pay too little,Engineer,Former Employee,nan,Dec 25 2022
116,30,Not Bad,Lots of government contracts so business is good,Many ex Army officers working here,IT Specialist,Former Employee,Ang Mo Kio New Town,Dec 21 2022
117,40,working experience,good HR as well as good envirommnet,Enhance welfare for all staff,Electrical Engineer,Former Employee,nan,Oct 27 2022
118,30,N8ce ppace to get some experience,Good people to work with Intresting work,Low salaries Low worklife balance,Software Engineer,Former Employee,nan,Dec 17 2022
119,20,Pay and culture,People are friendly if you work for a priod of long enough,Stagnant and conservative and resistance to change,Senior Manager,Current Employee,nan,Dec 13 2022
120,20,nil,high ot paid salary for my and sg,theres no progession for singaporens,Trainee Aircraft Technician,Current Employee,nan,Dec 7 2022
121,40,Work life balance,Very good work culture supportive colleagues,There are no cons in this company,Technical Writer,Former Employee,Singapore,Dec 4 2022
122,10,Very good conditi,Im doing great in the company,The company is working perfectly well,Anonymous Employee,Former Employee,nan,Dec 25 2022
123,50,Best,Good best great awesome exciting,Nothing to say bad about them,Planner,Current Employee,Flensburg,Dec 1 2022
124,20,Pros and cons,13th Month Salary bonus is quite extensive,No life balance Quite hard to get promotion,Presales Engineer,Former Employee,nan,Nov 30 2022
125,10,Not worth to come,Friendly culture Fellow engineers are ok,Company tend to ignore those engineers who go on site to do the handson work And if there is issues they are the first to be blamed Was from a department which deals with classified job and as more of those with clearance leaving the jobs pile,Senior Engineer,Current Employee,Ang Mo Kio New Town,Jul 21 2022
126,10,Dont bother joining ST engineering,The only good things about here is the colleagues,Came in as an E4 as assistant engineer 1 person work on majority of the project didnt get promoted Lousy approving officer AO dont want to push me up for promotion even more than qualified to be a full engineer E5 Pathethic increment and heard from someone my increment is consider pretty high in terms of when I am clearly 30 underpaid compared to fresh grad Fresh grad from private U come in already 48k Need take how long to catch up with them,Assistant Engineer,Former Employee,nan,Aug 3 2022
127,50,Great experience,Very good performance and nice,Please before taking fresher please provide training for them,Jewellery Designer,Former Employee,nan,Nov 27 2022
128,50,Good,This is Aerospace Department in LT Comapany,Project management file work always Challenges work,Design Engineer,Current Employee,nan,Nov 16 2022
129,30,work life balance slow progression,good for retirement life there is work life balance,slow progression salary not as competitive median age is high and not many young people,Anonymous Employee,Current Employee,nan,Nov 15 2022
130,40,Great people low salary,The people here are great colleagues No toxic people here,Low salary pay for a big company,Senior Engineer,Current Employee,Ang Mo Kio New Town,Oct 9 2022
131,50,Know more,Nice challenging environment and if lucky great boss,Government projects can be very taxing,Manager,Current Employee,Jurong East New Town,Oct 13 2022
132,30,Average remuneration,Great colleagues being supportive at work,No leadership in most managers,Senior Manager,Former Employee,Jurong West New Town,Dec 12 2022
133,10,Low pay increment,Good colleagues to support you,The pay increment is just too low,Software Engineer,Former Employee,Singapore,Jan 3 2023
134,20,Bureaucratic,Work life balance for the jon,a bunch of exmindef employee,Assistant Manager,Former Employee,Ang Mo Kio New Town,Dec 12 2022
135,30,personal review,exposure in a lot of industries,Lots of concurrent management other than primary job scope,Senior Manager,Former Employee,Jurong East New Town,Dec 6 2022
136,30,Typical GLC company,Worry free when times are bad as long as you are not the bottom percentile of performer You will still get meager pay rise that hardly beats inflation rate,Too much red tape and clearance that impedes cross collaboration Dillusioned with being One ST low level of synergy across BU,Production Engineer,Current Employee,Singapore,Oct 18 2022
137,40,Overtime even if you decline,OT is always available if you are willing,OT till you dont wantSeems if you dont OTyou are not supporting Customer demanding,Engineer,Current Employee,nan,Sep 26 2022
138,40,Engineer,Colleagues are helpful and support when require Flexible and depending the managers you are under with can be understanding on technical issues Work life balance is good,increment is low since based on average market rate Improvement takes time and depending if the management willing to take risk in changes,Engineer,Current Employee,Singapore,Jul 17 2022
139,10,GLC,Stable company as its under Temasek Holdings,Benefits need to be improved,Account Manager,Former Employee,nan,Jan 2 2023
140,50,Lack of Resources but Many opportunities to learn,Creative Problem Solving Many learning opportunities,Lack of resources put into transformation projects,Mechanical Engineer,Current Employee,Paya Lebar,Nov 4 2022
141,40,Not the best company to work for but not the worst either,Stability structure and good work life balance,Bureaucracy and red tape can be overwhelming at times,Senior Engineer,Current Employee,Singapore,Oct 20 2022
142,20,normal,work life balance continue studies some career progression,Bureacretic need improvement on the way it treats its renumerations,Senior Engineer,Current Employee,nan,Nov 8 2022
143,20,Poor Salary Package Lots of Unpaid Overtime,High attrition hence won’t go jobless,Lots of management who are just routers and parrots Mostly yesmen or yeswomen,Senior Engineer,Current Employee,Singapore,Oct 31 2022
144,10,You deserve better,1 Good colleagues but it also depends the department you are working in 2 These go both ways if you are lucky you will get a Reporting Officer RO who doesnt care about you Hence no micromanagement,1 Senior management have the mentality of My ideas always worked before and I know what the customers truly wants attitudes does not listen to any of the actual employees that are working on the ground 2 Salary is not competitive versus the market 3 As a senior staff you are expected to hold appointments in 34 projects at one time The management will tasked the existing staff to take over any leftovers from the ones who left without the intention of hiring more manpower to reduce workload 4 The management expects you to be overworked as it is common in the company and does not believe in giving you a better salary package 5 The management also does not believe in providing opportunities for the junior staff unless they are scholars So if you are not first class honours progression will be real slow for you even if you met your KPIs That being said dont expect a super fast progression if you are first class 6 Not really a major con but bosses like to come in 510 mins before your work day ends for meetings so those rushing to fetch their kids do note 7 Micromanagement only if you are that lucky enough to get an RO who is super into every single moves you made 8 Decisions and changes from management takes about average 56 months to process 9 On the ground engineers Im sorry but it is a fact that you wont be valued as much as those working at main office If you are not seen by the bosses you are not contributing as much 10 The company does conduct employee surveys However they will only take in the good and ignore the legit concerns from employees,Senior Principal Engineer,Current Employee,Ang Mo Kio New Town,Sep 11 2022
145,40,Knows how to treat IT staff well,I like the flexible working hours and flexible lunch time hour Varies from Departments and bosses Even if you are tired of your job you can explore other fields in IT within ST Engineering easily,If youre working on confidential projects you cannot work from home If youre working on confidential projects you cannot bring a camera phone in,Software Engineer,Current Employee,nan,Sep 14 2022
146,10,Only good as a retirement home or just a stable salary,Stable job Stable pay but still below average,Bad management either hovering over employees or not doing enough to help them Work location is far,Senior Technician,Former Employee,nan,Nov 4 2022
147,30,Stable but very slow progression,Stable Good working hours Good benefits,Slow advancement Company tends to look externally for management positions,Principal Engineer,Former Employee,Singapore,Oct 29 2022
148,30,Great place to start and have on resume,Colleagues are really friendly and helpful especially at the working level For new hirers the working pace is reasonable enough to learn on the job Some managers are really helpful and willing to teach,Slow progression to say the least Salary package not the most competitive especially after removing SSOS in 2019 Hard work can go unnoticed especially if you are not prominent enough or just doing your day to day work Manpower dwindling but yet company justify that departments are overstaffed so no replacements,Anonymous Employee,Current Employee,nan,Jul 25 2022
149,40,Average,Overall the team and colleagues are friendly stable environment,It is considered as government sector and not so much international exposure,Business Development Executive,Current Employee,nan,Oct 24 2022
150,30,Depart,Different department give different views,Lots of work to do due to can not find good candidate,Senior Principal Engineer,Current Employee,Singapore,Oct 22 2022
151,30,ST should hire more minorities and scale up the pay,Some managers tends to support the engineers,Managers will always lowball when it comes to pay Low pay in IT industry,nan,Former Employee,Ang Mo Kio New Town,Sep 17 2022
152,20,Engineers are not driven,work life balance Work can be completed relative easy,Nothing much to learn No innovation,Senior Software Engineer,Current Employee,Singapore,Oct 26 2022
153,40,working experience,good HR as well as good envirommnet,Enhance welfare for all staff,Electrical Engineer,Former Employee,nan,Oct 27 2022
154,30,Improving,The management is improving Now put the correct person as the manager,Too much workload Tends to overloaded at times,Engineer,Current Employee,nan,Oct 22 2022
155,30,Claim Associate,There is a Good teamwork colleague,There is Alot of OT,Claim Associate,Former Employee,nan,Oct 26 2022
156,30,Great Colleagues but some bosses are just bosses,Great Colleagues and strong camaraderie And people are willing to help each other when things are tough,but some of the senior management are only bosses and not leaders,Assistant Principal Engineer,Current Employee,nan,Sep 18 2022
157,30,Organization,Senior management are supportive and willing to hear from ground,Minority from peers and team playing politics while management do not see and rectify it,Principal Engineer,Former Employee,Ang Mo Kio New Town,Oct 7 2022
158,30,Comfortable Workplace,Your dream workplace to retire to,Many army retirees seeking refuge here with salary higher than those that had contributed many years,Design amp Development Engineer,Current Employee,nan,Oct 14 2022
159,40,Improving to change its image,Senior leadership is mostly forward thinking and happy to embrace new ideas,Middle level managers and a token few of senior leadership prefer to do things their way senior leaderships vision doesnt follow through,Anonymous Employee,Current Employee,nan,Sep 16 2022
160,30,Just review,Stable and tons on experience learn,Too much on the plate,Senior Engineer,Current Employee,nan,Oct 25 2022
161,10,Dont,Stable Get to leave on time on most days,Erratic senior management Prefer to hire externally than promote internally High attrition rate No replacement,Business Development Executive,Current Employee,Singapore,Oct 6 2022
162,30,Good,Good place to work in,Can improve the salary package,Executive,Former Employee,nan,Oct 25 2022
163,50,Flexible,Friendly and Flexible environment to work,Huge projects low time estimations with no proper planning,Anonymous Employee,Former Employee,nan,Oct 18 2022
164,30,Good,Nice team to work with,Long hours for my shift,IT Help Desk,Former Employee,nan,Oct 25 2022
165,10,Bad management,You get lousy pay for more work,Getting exploited working for long hours Boss complaining did not OT enough even though its after 10pm and didnt have any dinner before this 50 dollars increment per year Micromanagement at its best,Anonymous Employee,Former Employee,Singapore,Oct 3 2022
