Unnamed: 0,Rating,Title,Pro,Con,Job Title,Status,Region,Date
190,2,Lost a lot of weight so thats cool 🤷‍♂️,Lose weight Somewhat very nice and fairly diverse people to work with Two 30 minutes breaks Benefits are decent and start day 1 they’ll even pay up front for most college programs after you’ve worked 90 days minimum If you work in a state that pays more due to cost of living and transfer to a lower cost of living state you get to keep the pay and maybe even get more money for transfer offers Did I mention you’ll lose weight no bs I average no less than 11 miles walking per day Guess another pro is you’ll really come to hate Amazon lol,Rate rate and more rate Whatever department you’re assigned you’re hourly rate effects if you get written up That includes if you get labor shared to another department youve never worked in Getting promoted is basically impossible unless you apply for a higher tier position with any bachelors degree that could have nothing to do with leadership skills You’ll likely hate your job within a month You don’t get placed in a department based off experience or skills its all luck of the draw,FC Associate I,Current Employee,Garner NC,Mar 26 2023
200,1,What are you doing Andy,Good managers not great CEO I can work autonomously Health Benefits Commuter Benefits Work life balance Clear promotion paths Lots of free training programs to learn on own time You dont have to stick to one career you can transition out with the right skill set Great vacation time perks Working with great intelligent folks No dresscode,Mandatory 3 days in the office we didnt have this before remoteadvocacy People dont trust the current CEO with his decision making Poor decisions on Layoffs They have not been thoughtful regarding this It is definitely not the greatest employer There are many factors why people WFH Pay isnt as competitive compared to other tech giants Amazon falls behind on this Company can be pretty stingy You are pitted against a bell curve for performance and if you are at the bottom you may be asked to be in a development program and worsea pip,Executive Assistant,Current Employee,San Francisco CA,Mar 20 2023
210,2,Overloaded Scope of Work No Path to Growth,Great compensation really smart coworkers,When individuals move or leave that person’s entire job will be moved into yours or your teams scope without update to your comp or title Job descriptions are way to broad they approach scope as “there’s no such thing as this is not apart of my job” When promoted you’re paid in Monopoly money By that I mean you’re awarded stick shares that don’t vest for another twothree years There are huge issues in their org structures where one person will have 5 to 8 direct reports with varying titles tenure which presents the challenge of not knowing what title you’ll be promoted into how At my level L6 your boss is often the same level as you but with a more senior titles so path to grown is even murkier Lateral growth is hard as well because your boss can block your move There are also people in your chain of reporting who will have input into your performance review who you will never meet with or know I’m an L6 I’ve never met my L8 a person who has input into my careerfuture lol also diversity is not existent I was the only one on my team for two years,Senior Marketing Manager,Current Employee,Seattle WA,Mar 28 2023
220,1,Death by a thousand paper cuts,Amazon offers competitive salaries to employees,Amazon has a welldeserved reputation for terrible worklife balance and poor career prospects for software engineers While the prevailing understanding of 20222023 layoffs blames overhiring engineers during this time were still working incredibly demanding shifts often 5060 hours per week suggesting the problem of overburdened engineers is likely caused by something other than not having enough talent or labor While leaders enjoy and promote the culture of “ownership” that very culture coupled with expectations of high turnover and meager documentation means that actual development is usually hindered by years of inscrutable tech debt for any given product along with key gaps in institutional knowledge left by former employees Management exacerbates this problem by encouraging talent to flee the company through opaque performance review cycles with turnover quotas,Software Development Engineer SDE,Former Employee,nan,Mar 24 2023
230,3,DO NOT talk to the managers because once they like you you will be their slave,There are a handful amount of employees who are very respectful however they might stare at you and make you feel uncomfortable sometimes But those that do generally mind their business and only ask for help if they absolutely need it unlike the managers or process assistants who like to micromanage or outsource whenever they feel like they are too overwhelmed,If you are a good genuine person try to not talk to the managers because they will try to get to know you and use you as your slave especially if you do your job very good The other people who live in the area who are usually new will try to be social and get to know you only to talk about you behind their back do not talk too much These employees lives are miserable and it makes sense because everyone works the graveyard shifts 120 am1150 am 4 days a week there will not be any kind of fun in your life because when you are working the rest of the world is sleep and you are going to get the bottom half of the stick with everythingpay pto bonuses etc Amazon sucks I seen managers leave and never come back because the environment is so draining and the pay is never enough for the amount of work you do Silence is your best friend at this job Which sucks because who tf wants to go to work for 10 hours and sweat in silence,Sales Associate,Former Employee,Champaign IL,Mar 15 2023
240,4,The most challenged Ive been in my career,Ability to work on amazing projects flexibility immense trust from my manager cool colleagues amazing workspace opportunity for growth in skills and fun culture,Hard to understand upper level goals and how I make an impact personal biases with upper management which can cause people to lose faith in staying with the company If you arent with the right crowd you might not get any opportunities The pay rate when getting a promotion is extremely small It seems that the only way to get a pay bump is through boomerang And there are plenty of us that do not want to leave but its the only way to move up or get more money,LXD,Current Employee,Arlington VA,Mar 24 2023
250,3,Fun internship but lack of direction,My team was amazing extremely friendly diverse and professional It had a huge number of differing opinions yet everyone respected each other The job was challenging but provided me with a great opportunity to learn a variety of different things,I felt that the intern program especially for IT was very uncoordinated The interns program is created and managed by an offsite team that doesnt do a fantastic job explaining why the IT interns are there or what they should do When I arrived management was extremely confused about my level of expertise in IT and they werent sure what the internships end goal was Also the IT interns are placed in a class with other management interns which means a significant portion of their time is spent learning things that arent necessarily relevant to them how to pick pack etc Also depending on the size of your site and the quality of your team you might have a significantly different experience I knew some interns that were assigned to sites that only had one other engineer Also interdepartmental communication is a huge issue with all departments I interacted with at Amazon,IT Support Engineer Intern,Former Employee,nan,Mar 16 2023
260,2,Compensation is great work culture is terrible and…there is zero soul,This is an amazing opportunity at a top tier company Compensation is on parabove industry average You work with very driven and ambitious people learn new things every day,The expectation is to be self motivated and perform 110 everyday As an individual contributor it was a high stress work environment highly competitive borderline toxic and little work life balance Looking back at this experience after 2 years it feels like an abusive work culture compared 34 other companies I worked at I heard horror stories about people “selling their souls” to work here before I joined and it’s all true unfortunately There is a lack of diversity and inclusion certain departments outside of engineering They are trying to change but there is no true action and it can get exteremly exhausting It always felt like I had to work 2X as hard here And that is why I left,Account Executive,Former Employee,New York NY,Mar 28 2023
270,5,Rigorous culture growing pains,Everyone whos lived through the Amazon business culture walks away with an indelible work experience They really believe in embodying the set of Leadership Principles and the best colleagues are admirable in their care for the business customers and each other I had some great managers and was inspired by some great directors and VPs The standard Amazon way practices are also great training metrics annual OP planning sixpagers etc and and the cadence of weekly monthly and quarterly business reviews You can preview this in books like Working Backwards,Overgrown and many orgs became sclerotic In a Day One culture I saw groups that became the dreaded Day Two which was equated with decline and death Large company misincentivization of a growing manager class led to larger less nimble ultimately less efficient and creative teams It just varies a lot now by org You can still find pockets of admirable excellence,Principal Product Manager,Former Employee,Seattle WA,Mar 26 2023
280,1,Just a number,Overpaid flexible voluntary time off and unpaid time up to 80 hrs and its HARD to get fired Theft of time or product is the easy way,You are just another person to them regardless of how hard you work time you put in voluntary extra time you take to help them how green your calendar is how much training youve done permissions on scanner how safe you keep it etc If someone has been there a day longer and is one of the just show up people they will keep them over you Amazon has a anyone amd everyone policy which is great but where is the keep anyone and everyone Obvious racism and prejudice in the building They deny it though And obvious favoritism Ifa manager thinks you are cute you will have it easy and vice versa Its not a good place for job security Start up job at most Lazy stays lazy amd is allowed to stay lazy Pay is the same for everyone no matter what your skill if on the same tier No wondet turn around is so high This is what ive observed in under a year,FC Associate Tier I,Current Employee,nan,Mar 14 2023
290,5,Everyone is very nice Amazon Web Service Team is best out of all Good work culture One of the highly paying job,vibrant fast paced culture smart fun aggressive colleagues management is focused on latest tech trends and staying or becoming a leader for many of them by and large customers and partners are very positive about the technology good benefits and perqs,Worse still is the politics When you hire a bunch of smart aggressive people and put them in an environment of outsized expectations throw in a bunch of reorgs and changing management and sprinkle with uncertainty and constantly changing priorities you inevitably get people back stabbing each other and throwing others under the bus to appear smarter and more worthy of promotion,nan,Current Employee,nan,Apr 6 2015
300,2,If you’re not a psychic don’t work here,Benefits Remote work Pay,The company has no structure for training or assisting new hires in succeeding They put you through a grueling interview process which they use to determine your ability to figure things out from day one with no help Your first month you will watch tons of videos about that company videos that are irrelevant to your role Yet you won’t get and real knowledge about the role you are assigned Lots of wasted money and time if you ask me I don’t need to know what Jeff Bezos favorite food is I need to know how to do my job As a very intelligent person this role made me feel stupid,Litigation Paralegal,Former Employee,Los Angeles CA,Mar 19 2023
310,3,Was good until managers step in,Was a stable job and had some liberty to solve many problems with the maintenance and safety guys Free snacks once and a while No need to have to talk much to anybody during shift and could focus on whats best task priority for the good of the employeescompany safety and performance The big Pro at Amazon was that after having a work sprint from a few minutes to hours depending the situation I was able to have a few minutes to recover Simple thing make a huge difference in working conditionsunlike other Amazon workers working nonstop,The communication between managers and our team was 3 to 5 days delayed and lead to aggravation and big foot decision interfering with our work even if safety could be at risk That tells a lot about the station manager and his lieutenant background about their competences to manage their team and truck drivers safely and fairly Doing a speech at the begining of a shift but taking wrong decision to terminate an employee dont make a manager competent or help the company at all,Janitorial,Former Employee,Sarasota FL,Mar 7 2023
320,3,Great company but,I was lucky enough to have a great team my manager is super supportive and helpful and I am able to apply my innovative and technical abilities to create new initiatives and deliverables Steep learning curve and I was encouraged to try out a lot of new things,It looks like management does not provide enough care to the employee such as the recent Return to Office policy mandates Just 6 months ago the CEO publicly announced that no RTO will be enforced and RTO there is no onesizefitall approach Then we went through a series of layoffs and suddenly the RTO policy A lot of our colleagues moved and settled to places far from an Amazon location and people may be forced to relocate or separate from their loved ones Looks like VPs above are making fast decision about this but L10 and below have no idea how to enforce it many details are yet to be released after weeks of disclosure of the RTO,Business Intelligence Engineer,Current Employee,New York NY,Mar 20 2023
330,4,The most challenged Ive been in my career,Ability to work on amazing projects flexibility immense trust from my manager cool colleagues amazing workspace opportunity for growth in skills and fun culture,Hard to understand upper level goals and how I make an impact personal biases with upper management which can cause people to lose faith in staying with the company If you arent with the right crowd you might not get any opportunities The pay rate when getting a promotion is extremely small It seems that the only way to get a pay bump is through boomerang And there are plenty of us that do not want to leave but its the only way to move up or get more money,LXD,Current Employee,Arlington VA,Mar 24 2023
340,1,Incompetent Management,Amazon offers some decent benefits Continuing classes medical vacation time and different types of unpaid leave for life circumstances,Bias Harassment Sexist Mildly racist,Retail Store Associate,Current Employee,Ladera Heights CA,Feb 22 2023
350,2,Decent Warehouse Job,The pay is usually around 2123hr for all logistic delivery associates working for Amazon not including inhouse contractors at the warehouse You will almost always get the opportunity for a bit of overtime each time day Truck loading starts at 12 PM your routes last somewhere between 1230930 PM and your day usually ends after closing duties around 10301130 PM It is often a friendly work environment amongst other drivers,You will be overworked and over utilized If you find yourself doing well on routes they will just add more work for you to do without any further salary adjustment or promotion You do have the opportunity to take breaks and lunches with the exception that you may not finish your route for the day If you have ANY issues on the job you’d like to discuss with management or HR good luck finding help Also if you at any point need to change your work schedule regardless of what they’ve promised they’ll likely just let you go,Logistics Delivery Associate,Former Employee,San Jose CA,Mar 15 2023
360,3,Culture Loss,Entry level to middle management L4L7 are top notch quality Autonomy to own and attack any problem that interests you World class scale and speed of business,Culture is erodingdisappearing Innovation is down Risk aversion is up Status quo leadership Stack ranking performance ratings are destructive and contradictorily Day Two Very difficult to get promoted Strong lack of career growth Leadership L8 roles are usually external hires who fail to appreciate or adhere to company culture Day One Customer Obsession Working Backwards,Principal Product Manager,Former Employee,nan,Mar 15 2023
370,3,Luck of the draw but make the best of it with the people you enjoy beingworking with,NAME,NAME,Warehouse Associate,Former Employee,Sacramento CA,Mar 11 2023
380,2,Lower your expectations,NAME,The work environment at this company may be challenging due to several issues One issue is the presence of a toxic environment that can negatively impact the wellbeing of employees Additionally the high turnover rate and influx of new personnel without adequate training can lead to errors and mistakes in project deliverables Moreover the lack of emphasis on the companys leadership principles by many employees can contribute to a lack of cohesion and direction The leadership also has a tendency to make decisions without sufficient data to support them as evidenced by the RTO mandate Communication is also a weak point causing confusion and inefficiency Furthermore compared to other tech companies the basic benefits package may be underwhelming Finally daily questions that appear on employees screens with anonymous answers shared with managers can create a sense of unease and lack of privacy,Program Manager,Current Employee,Seattle WA,Mar 21 2023
